r_kpc,v_obs,v_model
0.28,168.0,5.291502622129181e-07
0.37,187.0,6.082762530298219e-07
0.47,204.0,6.855654600401044e-07
0.56,218.0,7.483314773547883e-07
0.65,232.0,8.06225774829855e-07
0.75,243.0,8.660254037844387e-07
0.84,253.0,9.16515138991168e-07
0.93,262.0,9.643650760992955e-07
1.03,269.0,1.0148891565092219e-06
1.12,275.0,1.0583005244258362e-06
1.21,280.0,1.1e-06
1.3,284.0,1.140175425099138e-06
1.41,287.0,1.1874342087037917e-06
1.5,289.0,1.224744871391589e-06
1.59,290.0,1.2609520212918492e-06
1.68,291.0,1.296148139681572e-06
1.78,292.0,1.3341664064126333e-06
1.87,292.0,1.3674794331177343e-06
1.96,291.0,1.4e-06
2.05,291.0,1.4317821063276352e-06
2.16,291.0,1.4696938456699068e-06
2.25,290.0,1.5e-06
2.34,290.0,1.5297058540778353e-06
2.43,290.0,1.5588457268119896e-06
2.46,290.0,1.5684387141358121e-06
2.53,290.0,1.5905973720586865e-06
2.62,290.0,1.6186414056238645e-06
2.71,290.0,1.6462077633154329e-06
2.8,290.0,1.673320053068151e-06
2.99,290.0,1.7291616465790583e-06
3.28,291.0,1.8110770276274832e-06
3.74,292.0,1.9339079605813715e-06
3.83,292.0,1.9570385790780926e-06
4.02,292.0,2.004993765576342e-06
4.09,292.0,2.0223748416156684e-06
4.12,292.0,2.0297783130184437e-06
4.3,291.0,2.073644135332772e-06
4.39,291.0,2.0952326839756963e-06
4.49,291.0,2.118962010041709e-06
4.58,290.0,2.1400934559032697e-06
4.87,289.0,2.2068076490713912e-06
4.91,288.0,2.2158519806160336e-06
4.96,288.0,2.2271057451320086e-06
5.05,287.0,2.2472205054244232e-06
5.14,287.0,2.2671568097509265e-06
5.24,286.0,2.2891046284519193e-06
5.33,286.0,2.308679276123039e-06
5.42,285.0,2.328089345364563e-06
5.51,285.0,2.3473389188611004e-06
5.61,284.0,2.3685438564654024e-06
5.71,284.0,2.3895606290697042e-06
5.8,283.0,2.408318915758459e-06
5.89,283.0,2.4269322199023193e-06
5.98,283.0,2.4454038521274966e-06
6.08,283.0,2.4657656011875905e-06
6.15,283.0,2.479919353527449e-06
6.17,283.0,2.483948469674844e-06
6.26,283.0,2.501999200639361e-06
6.35,283.0,2.51992063367083e-06
6.73,284.0,2.5942243542145697e-06
6.83,284.0,2.613426869074396e-06
6.92,285.0,2.630589287593181e-06
7.37,288.0,2.7147743920996455e-06
8.6,297.0,2.932575659723036e-06
9.83,305.0,3.1352830813181767e-06
