r_kpc,v_obs,v_model
0.75,169.0,8.660254037844387e-07
1.55,203.0,1.2449899597988732e-06
2.3,232.0,1.5165750888103101e-06
3.06,256.0,1.74928556845359e-06
3.85,248.0,1.9621416870348583e-06
4.61,253.0,2.147091055358389e-06
5.36,269.0,2.3151673805580453e-06
6.12,268.0,2.4738633753705964e-06
6.91,260.0,2.6286878856189832e-06
7.66,245.0,2.7676705006196096e-06
8.42,247.0,2.9017236257093818e-06
8.86,267.0,2.9765752132274434e-06
9.21,255.0,3.0347981810987037e-06
10.82,253.0,3.2893768406797055e-06
11.56,271.0,3.4e-06
12.4,276.0,3.521363372331802e-06
14.17,275.0,3.764306044943742e-06
16.88,275.0,4.108527716834827e-06
19.49,276.0,4.414748010928823e-06
22.19,267.0,4.710626285325551e-06
24.8,257.0,4.979959839195493e-06
27.51,254.0,5.244997616777342e-06
30.12,248.0,5.488169093604897e-06
35.43,227.0,5.952310475773252e-06
