r_kpc,v_obs,v_model
1.25,47.0,1.1180339887498948e-06
2.08,59.5,1.4422205101855957e-06
2.9,71.6,1.70293863659264e-06
3.73,77.6,1.9313207915827965e-06
4.56,83.4,2.135415650406262e-06
5.39,89.7,2.3216373532487797e-06
6.22,93.8,2.493992782667985e-06
7.04,99.0,2.65329983228432e-06
7.87,103.0,2.8053520278211074e-06
8.7,100.0,2.9495762407505253e-06
9.54,98.3,3.0886890422961e-06
10.34,98.4,3.2155870381627052e-06
11.21,94.5,3.3481338085566413e-06
11.98,94.9,3.461213659975356e-06
12.85,95.3,3.584689665786984e-06
13.72,96.9,3.7040518354904267e-06
14.49,97.2,3.806573262134856e-06
15.36,100.0,3.9191835884530846e-06
16.13,104.0,4.01621712560464e-06
17.0,104.0,4.123105625617661e-06
17.78,105.0,4.216633728461603e-06
18.65,109.0,4.318564576337836e-06
19.52,110.0,4.418144406874904e-06
20.29,107.0,13.722191974792237
21.16,106.0,11.603184462597602
21.93,106.0,9.983365788279158
22.8,108.0,12.967077004102492
23.67,109.0,23.546679016266797
24.44,110.0,30.542746120026067
25.31,110.0,25.847852798473713
26.08,110.0,33.977078303394514
26.95,113.0,48.541364326400554
27.73,114.0,49.7425917312608
28.6,112.0,47.66384167647319
29.47,113.0,55.3656680784787
30.24,115.0,58.2866748118164
