r_kpc,v_obs,v_model
0.26,14.6,216.34242408063054
0.44,10.0,198.0297101601898
0.77,10.7,175.25305676589758
0.89,17.4,89.5933157283988
1.22,23.5,1.104536101718726e-06
1.55,31.0,1.2449899597988732e-06
1.8,32.3,1.3416407864998739e-06
2.21,40.9,1.4866068747318505e-06
2.31,43.8,1.5198684153570665e-06
2.54,44.8,10.71450682514238
3.1,51.7,36.022474704822834
3.43,55.7,1.8520259177452133e-06
3.86,59.4,1.96468827043885e-06
4.09,62.0,2.0223748416156684e-06
4.37,63.0,2.0904544960366874e-06
4.76,66.6,2.181742422927143e-06
5.4,71.3,2.3237900077244503e-06
5.86,72.3,2.420743687382041e-06
6.08,73.4,2.4657656011875905e-06
6.43,72.4,22.925895857003386
6.97,77.1,31.7566620218055
7.96,80.3,34.86713319967241
10.29,84.7,31.67125600219011
15.49,86.9,32.58676324743721
16.26,85.8,24.655051138859516
