r_kpc,v_obs,v_model
0.22,152.0,15318.212825218401
0.43,167.0,6.557438524302001e-07
0.65,179.0,8.06225774829855e-07
0.87,188.0,9.327379053088814e-07
1.08,195.0,1.0392304845413265e-06
1.31,199.0,1.1445523142259596e-06
1.52,202.0,1.2328828005937952e-06
1.73,202.0,1.3152946437965905e-06
1.96,202.0,1.4e-06
2.17,200.0,1.4730919862656235e-06
2.39,196.0,1.5459624833740308e-06
2.6,193.0,1.61245154965971e-06
2.83,189.0,1.6822603841260722e-06
3.04,184.0,1.7435595774162694e-06
5.87,170.0,2.4228082879171436e-06
6.08,172.0,2.4657656011875905e-06
6.3,174.0,2.5099800796022264e-06
6.52,176.0,2.553429066960741e-06
6.74,178.0,2.596150997149434e-06
6.95,180.0,2.6362852652928137e-06
7.16,182.0,2.6758176320519306e-06
7.39,183.0,2.718455443813637e-06
7.6,184.0,2.7568097504180442e-06
7.82,185.0,2.796426290821913e-06
8.03,186.0,2.8337254630609506e-06
8.26,187.0,2.8740215726399828e-06
8.47,187.0,2.9103264421710497e-06
8.68,188.0,2.946183972531247e-06
8.91,188.0,2.98496231131986e-06
9.53,187.0,3.0870698080866263e-06
9.78,187.0,3.1272991542223777e-06
9.99,186.0,3.1606961258558217e-06
10.21,186.0,3.1953090617340916e-06
11.46,182.0,3.385262175962151e-06
13.39,177.0,3.6592348927063975e-06
15.21,175.0,3.9e-06
17.13,177.0,4.138840417314976e-06
19.06,180.0,4.365775990588614e-06
20.99,181.0,4.581484475582122e-06
22.92,182.0,4.78748368143433e-06
25.7,183.0,5.06951674225463e-06
