galaxy,source_file,status,n_rows,has_nan,missing_columns,non_positive_r,non_positive_v_err,negative_v_obs,not_monotonic_r,duplicate_r_count,r_min,r_max,v_obs_min,v_obs_max,notes
IC2574,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\IC2574.csv,ok,34,False,,0,0,0,False,0,0.85,10.23,10.3,67.5,
IC4202,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\IC4202.csv,ok,32,False,,0,0,0,False,0,0.77,25.9,35.1,250.0,
KK98-251,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\KK98-251.csv,ok,15,False,,0,0,0,False,0,0.25,3.13,4.25,34.6,
NGC0024,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC0024.csv,ok,29,False,,0,0,0,False,0,0.21,11.27,17.4,110.0,
NGC0055,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC0055.csv,ok,21,False,,0,0,0,False,0,1.23,13.5,28.7,87.4,
NGC0100,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC0100.csv,ok,21,False,,0,0,0,False,0,0.23,9.62,6.81,91.2,
NGC0247,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC0247.csv,ok,26,False,,0,0,0,False,0,1.08,14.54,34.6,108.0,
NGC0289,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC0289.csv,ok,28,False,,0,0,0,False,0,1.5,71.12,156.0,194.0,
NGC0300,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC0300.csv,ok,25,False,,0,0,0,False,0,0.91,11.8,33.1,97.0,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC0801.csv,ok,13,False,,0,0,0,False,0,1.17,59.82,123.0,238.0,
NGC0891,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC0891.csv,ok,18,False,,0,0,0,False,0,0.92,17.11,192.0,234.0,
NGC1003,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC1003.csv,ok,36,False,,0,0,0,False,0,1.25,30.24,47.0,115.0,
NGC1090,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC1090.csv,ok,24,False,,0,0,0,False,0,0.35,30.09,20.9,176.0,
NGC1705,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC1705.csv,ok,14,False,,0,0,0,False,0,0.22,6.0,50.2,73.2,
NGC2366,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2366.csv,ok,26,False,,0,0,0,False,0,0.12,6.06,4.2,53.7,
