galaxy,source_file,status,n_rows,has_nan,missing_columns,non_positive_r,non_positive_v_err,negative_v_obs,not_monotonic_r,duplicate_r_count,r_min,r_max,v_obs_min,v_obs_max,notes
UGC07690,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07690.csv,ok,7,False,,0,0,0,False,0,0.59,4.13,45.3,60.7,
UGC07866,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07866.csv,ok,7,False,,0,0,0,False,0,0.33,2.32,12.2,33.1,
UGC08286,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC08286.csv,ok,17,False,,0,0,0,False,0,0.47,8.04,22.2,84.3,
UGC08490,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC08490.csv,ok,30,False,,0,0,0,False,0,0.34,10.15,38.8,80.1,
UGC08550,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC08550.csv,ok,11,False,,0,0,0,False,0,0.49,5.36,25.0,57.8,
UGC08699,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC08699.csv,ok,41,False,,0,0,0,False,0,0.22,25.7,152.0,202.0,
UGC08837,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC08837.csv,ok,8,False,,0,0,0,False,0,0.52,4.2,7.31,48.0,
UGC09037,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC09037.csv,ok,22,False,,0,0,0,False,0,2.43,27.96,62.2,160.0,
UGC09133,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC09133.csv,ok,68,False,,0,0,0,False,0,0.32,108.31,222.0,289.0,
UGC09992,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC09992.csv,ok,5,False,,0,0,0,False,0,0.78,3.89,28.1,34.3,
UGC10310,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC10310.csv,ok,7,False,,0,0,0,False,0,1.1,7.74,33.2,73.2,
UGC11455,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC11455.csv,ok,36,False,,0,0,0,False,0,0.62,41.93,35.1,291.0,
UGC11557,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC11557.csv,ok,12,False,,0,0,0,False,0,0.33,10.56,4.0,85.0,
UGC11820,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC11820.csv,ok,10,False,,0,0,0,False,0,0.26,15.82,16.0,84.45,
UGC11914,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC11914.csv,ok,65,False,,0,0,0,False,0,0.28,9.83,168.0,305.0,
UGC12506,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC12506.csv,ok,31,False,,0,0,0,False,0,0.82,49.99,107.0,255.0,
UGC12632,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC12632.csv,ok,15,False,,0,0,0,False,0,0.71,10.66,24.1,73.2,
UGC12732,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC12732.csv,ok,16,False,,0,0,0,False,0,0.96,15.4,34.2,98.0,
UGCA281,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGCA281.csv,ok,7,False,,0,0,0,False,0,0.09,1.08,7.0,29.5,
UGCA442,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGCA442.csv,ok,8,False,,0,0,0,False,0,0.42,6.33,14.2,57.8,
UGCA444,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGCA444.csv,ok,36,False,,0,0,0,False,0,0.12,2.62,6.48,38.3,
