r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.87,26.6,6.92,4.4,UGC06667,0.0,6.92,0.0,813.2873563218392,UGC06667,UGC6667,Bizyaev_2014,,False,unique_to_2014,UGC06667,,EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,0.35,1,2.11237352684575,0.35517287011604637,0.8309219837720505,0.1339036435398775,0.11126348112446052,0.7522434943534212,1000000.0,2.1182905099665814,2.105809004165901,0.1380670611439842,0.12444780986734855,106244653.66260938,0.37700977413090947,0.3299313789129088,0.1350467186753028,3.0549999999999997,1.0,2.0,0.28995996190377316,0.35517287011604637,0.9084258251287403,2.1997755991278245,2.4423049057586588,2.289959961903773,0.15234494385488562,1.2361450794217297,9.665332063492437,35.51728701170463,0.8799102396515298,1.0,3733914.5951578273,993847.9248955227,929.8643420731353,929.8900908489694,-903.2900908489694,19.68
1.74,45.2,10.96,2.7,UGC06667,0.0,10.96,0.0,1174.16091954023,UGC06667,UGC6667,Bizyaev_2014,,False,unique_to_2014,UGC06667,,EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,0.35,1,2.11237352684575,0.35517287011604637,0.8309219837720505,0.1339036435398775,0.11126348112446052,0.7522434943534212,1000000.0,2.1182905099665814,2.105809004165901,0.1380670611439842,0.12444780986734855,106244653.66260938,0.37700977413090947,0.3299313789129088,0.1350467186753028,3.0549999999999997,1.0,2.0,0.28995996190377316,0.35517287011604637,0.9084258251287403,2.1997755991278245,2.4423049057586588,2.289959961903773,0.15234494385488562,1.2361450794217297,9.665332063492437,35.51728701170463,0.8799102396515298,1.0,3733914.5951578273,248461.98122388066,657.5133818634814,657.6047208844781,-612.404720884478,34.24
2.61,57.0,16.738321301731546,3.9,UGC06667,8.65,14.33,0.0,1244.8275862068965,UGC06667,UGC6667,Bizyaev_2014,,False,unique_to_2014,UGC06667,,EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,0.35,1,2.11237352684575,0.35517287011604637,0.8309219837720505,0.1339036435398775,0.11126348112446052,0.7522434943534212,1000000.0,2.1182905099665814,2.105809004165901,0.1380670611439842,0.12444780986734855,106244653.66260938,0.37700977413090947,0.3299313789129088,0.1350467186753028,3.0549999999999997,1.0,2.0,0.28995996190377316,0.35517287011604637,0.9084258251287403,2.1997755991278245,2.4423049057586588,2.289959961903773,0.15234494385488562,1.2361450794217297,9.665332063492437,35.51728701170463,0.8799102396515298,1.0,3733914.5951578273,110427.54721061364,536.8574282057589,537.1183013263479,-480.11830132634793,40.261678698268454
4.37,77.3,26.021775496687386,3.4,UGC06667,18.32,18.48,0.0,1367.3432494279175,UGC06667,UGC6667,Bizyaev_2014,,False,unique_to_2014,UGC06667,,EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,0.35,2,2.4675463969617963,0.35517287011604637,0.98592966648543,0.4841129512620844,0.4773013205791041,1.741980795770661,1000000.0,2.0267503485483815,2.5042831600425672,0.05417956656346749,0.6500882724321586,1388723225.6972206,1.3630347135013696,0.025241491203137567,0.10206116957357655,3.0549999999999997,1.0,2.0,0.28995996190377316,0.35517287011604637,0.9084258251287403,2.1997755991278245,2.4423049057586588,2.289959961903773,0.15234494385488562,1.2361450794217297,9.665332063492437,35.51728701170463,0.8799102396515298,1.0,3733914.5951578273,91217.98803840732,631.3656687909472,631.9016858086708,-554.6016858086708,51.278224503312615
5.24,80.7,30.05009983344481,3.9,UGC06667,22.41,20.02,0.0,1242.8416030534352,UGC06667,UGC6667,Bizyaev_2014,,False,unique_to_2014,UGC06667,,EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,0.35,2,2.4675463969617963,0.35517287011604637,0.98592966648543,0.4841129512620844,0.4773013205791041,1.741980795770661,1000000.0,2.0267503485483815,2.5042831600425672,0.05417956656346749,0.6500882724321586,1388723225.6972206,1.3630347135013696,0.025241491203137567,0.10206116957357655,3.0549999999999997,1.0,2.0,0.28995996190377316,0.35517287011604637,0.9084258251287403,2.1997755991278245,2.4423049057586588,2.289959961903773,0.15234494385488562,1.2361450794217297,9.665332063492437,35.51728701170463,0.8799102396515298,1.0,3733914.5951578273,63442.57312258394,576.5753057167293,577.3578540752172,-496.65785407521724,50.64990016655519
6.11,84.0,31.749483460365145,3.0,UGC06667,23.49,21.36,0.0,1154.8281505728314,UGC06667,UGC6667,Bizyaev_2014,,False,unique_to_2014,UGC06667,,EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,0.35,2,2.4675463969617963,0.35517287011604637,0.98592966648543,0.4841129512620844,0.4773013205791041,1.741980795770661,1000000.0,2.0267503485483815,2.5042831600425672,0.05417956656346749,0.6500882724321586,1388723225.6972206,1.3630347135013696,0.025241491203137567,0.10206116957357655,3.0549999999999997,1.0,2.0,0.28995996190377316,0.35517287011604637,0.9084258251287403,2.1997755991278245,2.4423049057586588,2.289959961903773,0.15234494385488562,1.2361450794217297,9.665332063492437,35.51728701170463,0.8799102396515298,1.0,3733914.5951578273,46661.74139067078,533.9505968692221,534.8936993431485,-450.89369934314846,52.25051653963486
6.98,85.0,34.23893835970969,3.0,UGC06667,25.65,22.68,0.0,1035.1002865329513,UGC06667,UGC6667,Bizyaev_2014,,False,unique_to_2014,UGC06667,,EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,0.35,2,2.4675463969617963,0.35517287011604637,0.98592966648543,0.4841129512620844,0.4773013205791041,1.741980795770661,1000000.0,2.0267503485483815,2.5042831600425672,0.05417956656346749,0.6500882724321586,1388723225.6972206,1.3630347135013696,0.025241491203137567,0.10206116957357655,3.0549999999999997,1.0,2.0,0.28995996190377316,0.35517287011604637,0.9084258251287403,2.1997755991278245,2.4423049057586588,2.289959961903773,0.15234494385488562,1.2361450794217297,9.665332063492437,35.51728701170463,0.8799102396515298,1.0,3733914.5951578273,35754.64888980101,499.5672619886246,500.7392077227537,-415.7392077227537,50.76106164029031
7.85,85.7,34.26793836810146,3.4,UGC06667,24.46,24.0,0.0,935.6038216560512,UGC06667,UGC6667,Bizyaev_2014,,False,unique_to_2014,UGC06667,,EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,0.35,2,2.4675463969617963,0.35517287011604637,0.98592966648543,0.4841129512620844,0.4773013205791041,1.741980795770661,1000000.0,2.0267503485483815,2.5042831600425672,0.05417956656346749,0.6500882724321586,1388723225.6972206,1.3630347135013696,0.025241491203137567,0.10206116957357655,3.0549999999999997,1.0,2.0,0.28995996190377316,0.35517287011604637,0.9084258251287403,2.1997755991278245,2.4423049057586588,2.289959961903773,0.15234494385488562,1.2361450794217297,9.665332063492437,35.51728701170463,0.8799102396515298,1.0,3733914.5951578273,28268.583646730676,471.0715249586158,472.31628515946363,-386.61628515946364,51.43206163189854
