galaxy,n_points,n_segments,mean_Dw_i,mean_Dw_smooth_i,mean_abs_dDw_dr_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,propagation_term_mean,propagation_source_mean,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,10,2,2.2841906530715903,2.2841906530715903,0.0,0.0,0.0,0.33066982021725205,0.0,,0.0,0.0,1.9769999999999999,75300744.96280545
ESO563-G021,30,5,2.0898387264367373,2.0908465422355818,0.0011726484029304291,0.4256893795014309,0.10633932695223165,0.3147385952704379,0.11240783963683718,-0.45124135013324146,0.1335471788420783,0.520994047802817,8.5,4972515764.711152
IC4202,32,5,2.147029425853597,2.147479448252071,0.004247023569929383,0.46800785533008704,0.06612094181692213,0.2156063382860122,0.08430468073570759,-0.4711336265288569,0.12037230360191051,0.49410927010580585,3.9700000000000006,870273012.8993666
NGC0100,21,5,2.405069179446495,2.397999210837412,0.04061879285308861,0.48972784518063955,0.06307024677980096,0.29156956392020095,0.13879055433850543,-0.41011248781058335,0.10217929005590094,0.4039630490741752,2.0,56584745.922046766
NGC2403,73,5,2.1830250312414097,2.182397097171777,0.030048546550086968,0.5142127272500757,0.08220411207791913,0.21066590603576663,0.11142642708681555,0.19270775985372915,0.08371877315747316,0.41170804692879454,3.38,1357749636.4929445
NGC2683,11,2,2.2029389564334108,2.2029389564334108,0.0,0.0,0.0,0.16949354890544696,0.0,,0.0,0.0,14.424999999999999,24312998.44047567
NGC2841,50,5,2.1636952457552936,2.1621302431913985,0.011624141113325668,0.5190108161184345,0.09882707978529784,0.25255408391929535,0.13621930676604954,0.3016968464216184,0.07917387111549154,0.44246570174541133,12.240000000000002,607651636.969469
NGC2998,13,3,2.226069473156314,2.209081770126826,0.008302788012965981,0.3881494166352104,0.1803831811073512,0.17477439758625726,0.06424422557314713,-0.15071205554137773,0.18604667680469264,0.4816005497089136,13.850000000000001,222861850.65588945
NGC3198,43,5,2.1754597816309404,2.174368168683393,0.014072809343037793,0.5335962363993129,0.08590243279241531,0.2543189814811753,0.12860921460177466,-0.287484223632357,0.06720077335032834,0.3844139949131125,5.259999999999999,284176339.1599391
NGC3769,12,3,2.1412520781800217,2.1391256357488877,0.006290212543212745,0.5311939823010847,0.09406026904182176,0.30586435108052396,0.17286995866138374,0.7391696072477217,0.1720653100900702,0.4783918190270296,5.799999999999999,123821242.45870626
NGC3917,17,4,2.225375092504513,2.2258564452124436,0.008025985166432449,0.47578425868463475,0.05045556743422902,0.21411745063476587,0.10143141421413226,-0.10004525851211203,0.1283538440915043,0.48636289547030614,2.6250000000000004,168121561.79605794
NGC4010,12,3,2.334579553007335,2.3307892408563062,0.014007749814811529,0.4857300027415274,0.03634027297180671,0.1602889067540161,0.0778218802558419,-0.014754986234194582,0.17019883344098,0.498832788818407,2.620000000000001,91188656.95228384
NGC4013,36,5,2.1252709714603166,2.1239645712420008,0.0048353136251260195,0.4989651799651323,0.06168087625960828,0.18814133608173686,0.0881845022829713,-0.7850574040810994,0.09123768411754155,0.4181096864206538,4.42,610229883.7962602
NGC4088,12,3,2.12109938500992,2.122037353622292,0.0031696209911703035,0.4898158356974102,0.026470557991981128,0.2845006411780338,0.13511312689913607,-0.8943032701062975,0.17319596029056247,0.49930870500855157,5.24,1338497201.579239
NGC4157,17,4,2.2268638059964565,2.224060256157073,0.0073289171070476606,0.48339329535345227,0.03516670615496187,0.20689145811463103,0.09610492881363607,-0.8473607963596679,0.12547778356219694,0.4751921089534175,5.2299999999999995,119491006.83341289
