galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
NGC5585,0.09,11.2,2.02,0.0,1798.897777777778,0.0,1798.897777777778,12.724024520567383,0.0,12.724024520567383,,1036.1431243247323,1036.1431243247323,formula
NGC5585,0.26,26.5,1.03,0.0,2794.943076923077,0.0,2794.943076923077,26.957099250475746,0.0,26.957099250475746,,1036.1431243247323,1036.1431243247323,formula
NGC5585,0.43,33.7,1.03,0.0,2910.408372093024,0.0,2910.408372093024,35.37620103968204,0.0,35.37620103968204,,1036.1431243247323,1036.1431243247323,formula
NGC5585,0.6,32.7,1.12,0.0,2679.105666666667,0.0,2679.105666666667,40.09318395937145,0.0,40.09318395937145,,1036.1431243247323,1036.1431243247323,formula
NGC5585,0.77,33.7,1.03,0.0,2441.2723376623376,0.0,2441.2723376623376,43.35642628261697,0.0,43.35642628261697,,1036.1431243247323,1036.1431243247323,formula
NGC5585,0.94,35.7,2.24,0.0,2249.8138297872347,0.0,2249.8138297872347,45.987226487362776,0.0,45.987226487362776,,1036.1431243247323,1036.1431243247323,formula
NGC5585,1.11,37.8,3.35,0.0,2095.894144144144,0.0,2095.894144144144,48.23320951377795,0.0,48.23320951377795,,1036.1431243247323,1036.1431243247323,formula
NGC5585,1.28,41.8,3.35,0.0,1889.6431249999998,0.0,1889.6431249999998,49.1807197995312,0.0,49.1807197995312,,1036.1431243247323,1036.1431243247323,formula
NGC5585,1.46,43.9,2.14,0.0,1742.7272602739727,0.0,1742.7272602739727,50.441865548371624,0.0,50.441865548371624,,1036.1431243247323,1036.1431243247323,formula
NGC5585,1.63,44.9,1.25,0.0,1632.159263803681,0.0,1632.159263803681,51.57925552002471,0.0,51.57925552002471,,1036.1431243247323,1036.1431243247323,formula
NGC5585,2.05,53.2,1.6,0.0,1435.3780487804881,0.0,1435.3780487804881,54.24504585674161,0.0,54.24504585674161,,1036.1431243247323,1036.1431243247323,formula
NGC5585,2.74,64.3,0.9,0.2147750391752609,1202.1878102189778,81.21813142993489,1283.4059416489126,57.39333236535408,14.917696877132931,59.30035649233503,,1036.1431243247323,1036.1431243247323,formula
NGC5585,3.42,73.1,2.4,0.41603872683423293,984.0948830409355,126.04551645090817,1110.1403994918437,58.01383024762285,20.76236176984945,61.61720673855726,,1036.1431243247323,1036.1431243247323,formula
NGC5585,4.11,76.2,4.4,0.4256372902400227,879.4497566909974,107.30441648136497,986.7541731723625,60.12103209360265,21.00050360678072,63.68327607573601,,1036.1431243247323,1036.1431243247323,formula
NGC5585,4.79,78.4,3.8,0.46880398403388057,757.4253862212943,101.40877342646074,858.834159647755,60.23344253817807,22.039692028536763,64.13903354988089,,1036.1431243247323,1036.1431243247323,formula
NGC5585,5.48,83.1,3.1,0.6036998772795179,626.6233576642336,114.14588996329509,740.7692476275287,58.5994539223703,25.010387382023037,63.71354233598111,,1036.1431243247323,1036.1431243247323,formula
NGC5585,6.16,88.0,3.0,0.7312375386361288,528.1847402597401,122.99784868603338,651.1825889457735,57.04049438775929,27.525746999962884,63.33470413529983,,1036.1431243247323,1036.1431243247323,formula
NGC5585,6.85,89.9,2.4,0.8245630974105348,436.7723941605839,124.72487356990221,561.4972677304861,54.698180042849685,29.22952931461316,62.01819316905185,,1036.1431243247323,1036.1431243247323,formula
NGC5585,7.53,90.6,2.8,0.8907941968824246,368.3564674634794,122.57507068899018,490.9315381524696,52.66615801442137,30.38075513031393,60.80061251573126,,1036.1431243247323,1036.1431243247323,formula
NGC5585,8.21,91.6,2.6,0.9319618363850102,326.14482338611447,117.61825199797555,443.76307538409003,51.74600467668977,31.074842701184817,60.35971213403341,,1036.1431243247323,1036.1431243247323,formula
NGC5585,8.9,92.3,1.4,0.9693275449328762,289.93335955056176,112.84967088772726,402.783030438289,50.79770565685029,31.691671948648793,59.872940222614524,,1036.1431243247323,1036.1431243247323,formula
NGC5585,9.57,90.9,1.0,0.9787866472268708,258.07256008359457,105.97315096185783,364.0457110454524,49.696623627767714,31.8459268149787,59.02471901419759,,1036.1431243247323,1036.1431243247323,formula
NGC5585,10.31,89.6,2.7,0.9852940815428956,230.63094083414163,99.02092027434756,329.6518611084892,48.76274192454727,31.95161479532018,58.29846214119652,,1036.1431243247323,1036.1431243247323,formula
NGC5585,10.96,89.4,2.7,1.01461913826256,207.25956204379563,95.9206791896931,303.18024123348874,47.66093578602921,32.42361244400501,57.64421431435281,,1036.1431243247323,1036.1431243247323,formula
