galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
D631-7,0.45,8.41,1.58,0.0,378.578,0.0,378.578,13.052206709978202,0.0,13.052206709978202,,191.72637472416787,191.72637472416787,formula
D631-7,0.9,17.8,2.22,0.0,470.4338888888889,0.0,470.4338888888889,20.57645499108143,0.0,20.57645499108143,,191.72637472416787,191.72637472416787,formula
D631-7,1.35,26.0,2.35,0.0,525.8278518518518,0.0,525.8278518518518,26.643340631384795,0.0,26.643340631384795,,191.72637472416787,191.72637472416787,formula
D631-7,1.8,30.9,2.22,0.1580194099893143,448.3973888888888,16.831382562946217,465.22877145183503,28.40977472631559,5.504224615084598,28.938068156207372,,191.72637472416787,191.72637472416787,formula
D631-7,2.25,34.7,1.82,0.3628320570905252,352.3628444444444,30.91754441763498,383.2803888620794,28.156995578363823,8.340532053752849,29.366322121431526,,191.72637472416787,191.72637472416787,formula
D631-7,2.69,38.8,1.81,0.5382122741259547,288.7396654275093,38.36040451681017,327.10006994431944,27.869512015821158,10.158222686583484,29.66309471633429,,191.72637472416787,191.72637472416787,formula
D631-7,3.14,42.5,1.57,0.6967971339003713,232.83519108280254,42.5459835671684,275.38117464997094,27.03890715247197,11.558303872147883,29.405728836417385,,191.72637472416787,191.72637472416787,formula
D631-7,3.59,45.6,1.59,0.8178516818043942,192.5110027855153,43.67792145248473,236.18892423800003,26.289056658617476,12.52212993122257,29.119035664225215,,191.72637472416787,191.72637472416787,formula
D631-7,4.04,48.8,1.83,0.9329252335377591,161.28249999999997,44.27385468190401,205.556354681904,25.52609057415569,13.374093349266417,28.817489011273903,,191.72637472416787,191.72637472416787,formula
D631-7,4.49,51.8,1.91,1.0436335581101044,134.95993318485523,44.56393733562015,179.52387052047538,24.616459940454476,14.145390720546905,28.391234186574817,,191.72637472416787,191.72637472416787,formula
D631-7,4.94,54.8,2.19,1.1466596004589902,114.52698380566802,44.50301381349493,159.02999761916294,23.785779364990336,14.827167235809576,28.02870293536012,,191.72637472416787,191.72637472416787,formula
D631-7,5.39,56.6,2.73,1.2253412287111323,97.40022263450837,43.586313836891065,140.98653647139943,22.912599154177162,15.3274339529108,27.56659992782648,,191.72637472416787,191.72637472416787,formula
D631-7,5.84,58.4,3.27,1.3015906655979241,83.57277397260273,42.73103761813471,126.30381159073744,22.092193191261025,15.797128210212978,27.159054837934008,,191.72637472416787,191.72637472416787,formula
D631-7,6.29,58.5,3.95,1.3443718299998935,72.15379968203496,40.977986843748,113.13178652578296,21.303694515271285,16.0546422335465,26.675811838577186,,191.72637472416787,191.72637472416787,formula
D631-7,6.74,57.7,4.07,1.3686795004616417,62.735014836795244,38.9335250419578,101.66853987875305,20.562927807099843,16.19913450721351,26.17720303590121,,191.72637472416787,191.72637472416787,formula
D631-7,7.19,57.3,3.94,1.4005313714863765,54.80212795549373,37.34614778060497,92.1482757360987,19.850120906432785,16.3865433372188,25.739970911843503,,191.72637472416787,191.72637472416787,formula
