galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,formula,,150.1241297223929,150.1241297223929,150.1241297223929,False,False,0.07506206486119645,0.08115362340493909,,,gbar_char_logmean,sigma_char_rms,262.5817073170732,232.41966823803128,0.037336850721720084,0.0,0.11201055216516026,1,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.511960581718384,4.0750969539314195,0.5700074973650673,0.5335457208397473,81.43115316392199,10.178894145490249,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,formula,,552.1307498692344,552.1307498692344,552.1307498692344,False,False,0.2760653749346172,0.38134020031115945,,,gbar_char_logmean,sigma_char_rms,206.5490972222222,189.03041345193063,0.6444558371078537,0.6433834759263046,0.6471497770545063,4,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,5.6713579963542875,4.993187062745268,0.14229519005479765,0.16718879840561687,7.9414240474024735,2.647141349134158,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,formula,,277.53606024410067,277.53606024410067,277.53606024410067,False,False,0.13876803012205033,0.16112735589891766,,,gbar_char_logmean,sigma_char_rms,70.43799836601308,65.81715615091065,0.7437098129955872,0.8073553417774658,0.7853333975745865,6,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,3.3339420801946416,3.0062291600332607,0.169077746859441,0.15887063667362333,19.3248117432206,3.86496234864412,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,formula,,613.6370244242695,613.6370244242695,613.6370244242695,False,False,0.30681851221213474,0.4426236384230022,,,gbar_char_logmean,sigma_char_rms,176.89675139275764,177.4202934561785,0.6724602818035884,0.7795720157257535,0.8003044105595102,13,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,15.958271884023192,13.152624797192766,0.2842017057714247,0.32178706974193494,582.0255343253473,38.80170228835649,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,formula,,739.8093402895065,739.8093402895065,739.8093402895065,False,False,0.36990467014475326,0.5870614375601425,,,gbar_char_logmean,sigma_char_rms,294.89539265251096,254.48699639190355,0.7228155557448395,0.7067216638198567,0.7400172741372036,14,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,10.46948893924454,9.111615894734914,0.5141032238814877,0.2273126020328266,64.76181982705344,4.98167844823488,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,formula,,502.8603339572076,502.8603339572076,502.8603339572076,False,False,0.2514301669786038,0.3358807099716738,,,gbar_char_logmean,sigma_char_rms,113.39115958443993,117.12170534208285,0.8718543223316527,0.9798661099465111,0.919965572040524,12,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,13.106763407695935,11.433180406598048,0.2672564927904212,0.32405054356365537,22679.289561786278,2061.7535965260254,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,formula,,559.2780606198011,559.2780606198011,559.2780606198011,False,False,0.27963903030990056,0.3881929228206267,,,gbar_char_logmean,sigma_char_rms,203.02229299363057,210.89414656458226,0.5021797997527665,0.6140659995452603,0.5904824405301667,31,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,16.976878402061573,13.469129858683008,0.2234854701232214,0.26855432601628,6386.70339402307,212.89011313410234,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,formula,,802.5645481933585,802.5645481933585,802.5645481933585,False,False,0.40128227409667927,0.6702361676217972,,,gbar_char_logmean,sigma_char_rms,349.09260200070753,336.41905162291397,0.5791672291175376,0.7172389175291844,0.6391034726164644,10,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,11.199003529629426,9.209161605769344,0.19811990954575737,0.25926430283083957,407.4926309436589,45.27695899373988,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,formula,,482.07097824816765,482.07097824816765,482.07097824816765,False,False,0.24103548912408382,0.31758466393363544,,,gbar_char_logmean,sigma_char_rms,145.149332915392,133.28663783148613,0.7553064515659542,0.7677610835554414,0.7643579889336719,8,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,19.03564794642849,17.6851500381465,0.3186633758776921,0.34673327545189453,2397.932769882846,342.561824268978,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,formula,,1277.4261496806498,1277.4261496806498,1277.4261496806498,False,False,0.6387130748403249,1.7678831708566203,,,gbar_char_logmean,sigma_char_rms,1608.9090643776824,1661.706405566926,0.2923605939739489,0.35991824475278344,0.3412896888196943,12,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,27.089019584060555,22.495324555586542,0.1611960000319192,0.1849235764343087,1487.7532420545515,106.26808871818226,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_124004_formula\figures\ESO079-G014_rotation_curve.png,ok,
