galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,causal_horizon_kpc,ell_info_kpc,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
UGC12506,0.82,107.0,33.69309127996421,25.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.106238330533338,2.1136259355100027,-0.0009454323809439771,0.5,0.09095951192457015,0.4851422379383037,0.4851422379383037,8.200000000000001,8.200000000000001,201986834.18789086,67.77792,1,33.69309127996421,0.6851112964489326,0.3323764275960478
UGC12506,2.46,159.0,82.91915641153135,26.5,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.106238330533338,2.1136259355100027,-0.0009454323809439771,0.5,0.09095951192457015,0.4851422379383037,0.4851422379383037,8.200000000000001,8.200000000000001,201986834.18789086,67.77792,1,82.91915641153135,0.478495871625589,0.2321385580046775
UGC12506,4.1,194.0,112.13798330628208,13.9,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.106238330533338,2.1136259355100027,-0.0009454323809439771,0.5,0.09095951192457015,0.4851422379383037,0.4851422379383037,8.200000000000001,8.200000000000001,201986834.18789086,67.77792,1,112.13798330628208,0.42196915821504083,0.20471506175738705
UGC12506,5.74,198.0,128.90390994845734,14.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.1074708505904822,2.1128506809576284,-0.0009263998528939507,0.4942766424156121,0.0914242655254983,0.48638164433612574,0.48638164433612574,8.200000000000001,8.200000000000001,229718714.70641476,79.07424,1,128.90390994845734,0.348970151775468,0.16973267624477947
UGC12506,7.38,211.0,141.22226594981402,13.2,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.1099358907047714,2.1113001718528803,-0.0008883347967938981,0.4828299272468363,0.09235377272735461,0.4888604571317699,0.4888604571317699,8.200000000000001,8.200000000000001,285182475.74346256,101.66687999999999,1,141.22226594981402,0.330700161375289,0.16166623206347386
UGC12506,9.02,222.0,157.50236347433014,13.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.1124009308190606,2.1097496627481322,-0.0008502697406938455,0.47138321207806055,0.09328327992921093,0.49133926992741406,0.49133926992741406,8.200000000000001,8.200000000000001,340646236.78051037,124.25952000000001,1,157.50236347433014,0.29052989425977416,0.14274874613768623
UGC12506,10.65,230.0,169.21796240352265,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.114850940200945,2.108208607967194,-0.0008124367885944028,0.4600062939529968,0.09420711940422664,0.49380296801088963,0.49380296801088963,8.200000000000001,8.200000000000001,395771804.15269816,146.7144,2,169.21796240352265,0.2642697286803363,0.1304971763777826
UGC12506,12.29,239.0,175.92891888487236,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.1173159803152344,2.1066580988624457,-0.0007743717324943503,0.44855957878422104,0.09513662660608296,0.4962817808065338,0.4962817808065338,8.200000000000001,8.200000000000001,451235565.1897459,169.30704000000003,2,175.92891888487236,0.26389573688337925,0.13096664624773593
UGC12506,13.93,237.0,177.92775640691926,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.1197810204295235,2.1051075897576976,-0.0007363066763942976,0.43711286361544527,0.09606613380793927,0.49876059360217795,0.49876059360217795,8.200000000000001,8.200000000000001,506699326.22679377,191.89968000000002,2,177.92775640691926,0.2492499729665854,0.12431606447214094
UGC12506,15.57,240.0,180.6274710557616,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.118299313097613,2.103946961990054,-0.0007620017567424297,0.4427236430874673,0.09938588524528606,0.506202220294745,0.506202220294745,8.200000000000001,8.200000000000001,524068773.205373,219.8462967846082,2,180.6274710557616,0.24738553726766005,0.1252271082336979
