r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms,source_file,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__
0.41,15.0,13.301372109673498,4.1,DDO168,10.41,8.28,0.0,548.7804878048781,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.2116264526155924,0.17171513697241902,0.9057217242557306,0.19349793377697164,0.17525528222039993,0.2891712156636599,1000000.0,2.1795915369944274,2.236853866913117,0.22082018927444794,0.28040749826472355,149296598.71170092,0.6242398603227362,0.13825855435343115,0.10406977998328425,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,1720233.2877076739,839.8188185317987,839.9241480396585,-824.9241480396585,1.6986278903265024,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.82,23.4,22.071746645881923,1.3,DDO168,18.08,12.66,0.0,667.7560975609756,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.2116264526155924,0.17171513697241902,0.9057217242557306,0.19349793377697164,0.17525528222039993,0.2891712156636599,1000000.0,2.1795915369944274,2.236853866913117,0.22082018927444794,0.28040749826472355,149296598.71170092,0.6242398603227362,0.13825855435343115,0.10406977998328425,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,430058.32192691846,593.8415815519094,594.2516184076178,-570.8516184076178,1.3282533541180754,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.24,29.2,25.138022993067693,1.5,DDO168,20.09,15.11,0.0,687.6129032258065,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.2116264526155924,0.17171513697241902,0.9057217242557306,0.19349793377697164,0.17525528222039993,0.2891712156636599,1000000.0,2.1795915369944274,2.236853866913117,0.22082018927444794,0.28040749826472355,149296598.71170092,0.6242398603227362,0.13825855435343115,0.10406977998328425,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,188066.60748156862,482.910543762657,483.56438400397633,-454.36438400397634,4.061977006932306,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.64,36.2,25.762765767673315,1.1,DDO168,20.2,15.99,0.0,799.0487804878051,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.2116264526155924,0.17171513697241902,0.9057217242557306,0.19349793377697164,0.17525528222039993,0.2891712156636599,1000000.0,2.1795915369944274,2.236853866913117,0.22082018927444794,0.28040749826472355,149296598.71170092,0.6242398603227362,0.13825855435343115,0.10406977998328425,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,107514.58048172962,419.90940926589934,420.6989803767494,-384.4989803767494,10.437234232326688,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.47,52.1,28.32203735609428,1.2,DDO168,22.63,17.03,0.0,1098.9514170040486,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3833415895880115,0.17171513697241902,0.9763226305684655,0.2603599693117774,0.25419533013319945,0.7085935103834389,1000000.0,2.045859742654258,2.43587093851836,0.09602194787379972,0.6169058816547434,616964743.3162987,1.2689856566503228,0.03345658261898787,0.10406977998328426,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,116145.73429878194,535.6117658509673,536.3600483984536,-484.2600483984536,23.77796264390572,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.89,52.9,28.554554803043242,1.7,DDO168,22.95,16.99,0.0,968.3079584775086,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3833415895880115,0.17171513697241902,0.9763226305684655,0.2603599693117774,0.25419533013319945,0.7085935103834389,1000000.0,2.045859742654258,2.43587093851836,0.09602194787379972,0.6169058816547434,616964743.3162987,1.2689856566503228,0.03345658261898787,0.10406977998328426,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,84840.16120298355,495.1646856113857,495.9873269314675,-443.08732693146754,24.345445196956756,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,54.8,28.506204587773517,2.2,DDO168,22.74,17.19,0.0,910.0121212121212,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3833415895880115,0.17171513697241902,0.9763226305684655,0.2603599693117774,0.25419533013319945,0.7085935103834389,1000000.0,2.045859742654258,2.43587093851836,0.09602194787379972,0.6169058816547434,616964743.3162987,1.2689856566503228,0.03345658261898787,0.10406977998328426,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,65068.27459903021,463.3846201340736,464.26060556200514,-409.4606055620051,26.29379541222648,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.71,55.0,28.488123841348344,2.5,DDO168,22.74,17.16,0.0,815.3638814016173,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3833415895880115,0.17171513697241902,0.9763226305684655,0.2603599693117774,0.25419533013319945,0.7085935103834389,1000000.0,2.045859742654258,2.43587093851836,0.09602194787379972,0.6169058816547434,616964743.3162987,1.2689856566503228,0.03345658261898787,0.10406977998328426,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,51481.281768037064,437.03038265024264,437.9579072918053,-382.9579072918053,26.511876158651656,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.12,52.0,28.01935937882949,2.7,DDO168,22.74,16.37,0.0,656.3106796116505,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3833415895880115,0.17171513697241902,0.9763226305684655,0.2603599693117774,0.25419533013319945,0.7085935103834389,1000000.0,2.045859742654258,2.43587093851836,0.09602194787379972,0.6169058816547434,616964743.3162987,1.2689856566503228,0.03345658261898787,0.10406977998328426,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3074512826452187,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,41744.834007884754,414.7152229090285,415.660679656478,-363.660679656478,23.98064062117051,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,18.9,65.19,9.78,ESO563-G021,0.0,65.19,0.0,793.7999999999998,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1,2.0531243916273874,0.03853077998641341,0.9013469581805319,0.030002868416687853,0.02704299418407235,0.12034132411912196,389277.85801701597,2.0634496349434133,2.0177045319906908,0.11570247933884298,0.033728429860948456,11131020785.313784,0.1868307947368393,0.12205767364056186,0.008658602244137845,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,231339.32288406548,322.64949294525394,329.16930506629785,-310.2693050662979,-46.29,ESO563-G021_pointwise_topostructure_v8_5.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
