galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,mass_bar_segment_msun,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,r_ref_kpc,mass_ref_gal_msun,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,Dw_i,sigma_left_i,sigma_right_i,sigma_i,alpha_star_gal,alpha_relax_i,neighbor_gradient_i,mass_norm_i,kappa_dyn_gal,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,0.35000000000000003,205096211569.96982,229.03959164474358,245.83333333333334,9.143333333333334,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.77,174464023029.3473,2.0065851582542926,2.248463117245209,0.020390329158170697,0.5403522099370597,2.239667688227305,0.009847933430401135,0.004529252270633943,0.007188592850517539,2.2200835377306456,0.019584150496659625,0.0019587446459175865,1.0842411296083034,0.2844458415137807,0.9810798616249522,0.02902810948945656,0.028478893641150003,1.0278164778825036,434614.8228156121,0.18882734394639805,0.04327454651709384,0.9621256891580778,2.2200835377306456,2.188827343946398,0.03125619378424771,1.1346658302602843,6.294244798246602,4.327454651809384,1.4062430931363599,1.0,434614.8228156121,1579.8882414729105,162.9902475007845,281.1137764698804,IC4202_segment_structure_v8_5.csv
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,0.35000000000000003,223781325725.8618,205.63923030792338,241.71428571428572,12.457142857142857,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.77,174464023029.3473,2.0044626951121454,2.2413556653678244,0.015144958892254437,0.5619182406657918,2.2351384359566713,0.004529252270633943,,0.004529252270633943,2.2200835377306456,0.015054898226025681,0.0007212185144321568,1.132554160397929,0.2844458415137807,0.9852903248294442,0.022180111122851027,0.021853848892987058,1.1650586489304624,434614.8228156121,0.18882734394639805,0.04327454651709384,0.9621256891580778,2.2200835377306456,2.188827343946398,0.03125619378424771,1.1346658302602843,6.294244798246602,4.327454651809384,1.4062430931363599,1.0,434614.8228156121,977.4798351922973,149.15576103180422,254.03726909768938,IC4202_segment_structure_v8_5.csv
NGC0100,1,0.23,1.59,0.91,1.36,0.35,161165896.55079004,27.599172151429467,25.6275,5.07,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.25,3388933201.254637,2.212041020527026,2.0302729530802828,0.27777777777777773,0.04539757683114208,2.1865074218485394,,0.05167897138249522,0.05167897138249522,2.203457839158892,0.016950417310352517,0.03799924366359942,0.21807459265850426,0.26784373382954535,0.9858915795771759,0.014966325983594929,0.014755174764433334,0.020067037679629335,328230.36168461945,0.19208118400414032,0.03267320783105907,0.980773414260495,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,7953.883631836279,85.07663665761014,89.4413126492185,NGC0100_segment_structure_v8_5.csv
NGC0100,2,2.05,3.42,2.735,1.37,0.35,1702068257.98356,51.73566053421866,58.800000000000004,4.0,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.25,3388933201.254637,2.0485586142959344,2.1641035309823926,0.11345218800648298,0.3343287704023272,2.134828450466044,0.05167897138249522,0.07109006297519027,0.061384517178842746,2.203457839158892,0.06862938869284774,0.044806216918863315,0.7086911052614561,0.26784373382954535,0.9456966210033062,0.09213969865156724,0.08713620167505003,0.13944363397444787,328230.36168461945,0.19208118400414032,0.03267320783105907,0.980773414260495,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,6118.751028752574,129.36299340861856,139.32466628185477,NGC0100_segment_structure_v8_5.csv
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,0.35,3388933201.254637,55.162498029489754,76.9,4.388,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.25,3388933201.254637,2.023478595611566,2.2307644166476095,0.06809338521400778,0.5,2.2059185134412345,0.07109006297519027,0.008607120983629812,0.03984859197941004,2.203457839158892,0.0024606742823425343,0.0218948307579176,1.0,0.26784373382954535,0.997860294956193,0.042309266261752576,0.04221873691133253,0.21628173515307308,328230.36168461945,0.19208118400414032,0.03267320783105907,0.980773414260495,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,3094.0517237577524,121.73950778937639,133.65406445616645,NGC0100_segment_structure_v8_5.csv
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,0.3499999999999999,3987034338.207448,50.06994501779251,82.6,5.423333333333333,3,9.62,0.23,3.733520234736557,0.26784373382954535,0.25,3388933201.254637,2.014918906704777,2.2325012325347986,0.04867872044506258,0.5405439105956552,2.2145256344248643,0.008607120983629812,0.004100265415154958,0.006353693199392385,2.203457839158892,0.011067795265972347,0.004671833234847344,1.0846596481777564,0.26784373382954535,0.9892468997110427,0.018896385549575352,0.018693190820661964,0.24170447466917333,328230.36168461945,0.19208118400414032,0.03267320783105907,0.980773414260495,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,1695.7086612430685,107.69701594242335,118.76719512132698,NGC0100_segment_structure_v8_5.csv
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,0.35,4422252397.665824,46.49011326914392,88.84,8.472,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.25,3388933201.254637,2.0108669588635713,2.2326630874416855,0.03825136612021857,0.5661435567831083,2.2186258998400192,0.004100265415154958,,0.004100265415154958,2.203457839158892,0.015168060681127304,0.0025001618385091223,1.1423265182519553,0.26784373382954535,0.9851716760547569,0.022010719862109406,0.02168433777772605,0.27726678862464404,328230.36168461945,0.19208118400414032,0.03267320783105907,0.980773414260495,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,1175.1985835924565,101.69438300915945,111.81716401068063,NGC0100_segment_structure_v8_5.csv
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.3499999999999999,923002052.025577,67.7444087710755,67.01333333333334,1.6440000000000003,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.25,11601940773.34021,2.2272481886498134,2.0511987112547696,0.28806584362139914,0.0736931150021933,2.191385540125198,,0.05065295762727606,0.05065295762727606,2.2047294369271224,0.013343896801924604,0.03592408342360004,0.28205643422042087,0.20530111352303537,0.9893539169560001,0.01805072456162369,0.017858555048936273,0.025180562619000146,432993.6428305599,0.1939300358346574,0.032815724537822485,0.9837128242360789,2.2047294369271224,2.1939300358346574,0.010799401092465022,1.0476277972065482,6.464334527855247,3.2815724538822484,1.948357673935368,1.0,432993.6428305599,14571.851430951783,112.27043906466783,131.1257274813599,NGC2403_segment_structure_v8_5.csv
NGC2403,2,1.67,2.98,2.325,1.31,0.35,5748475495.621661,103.12050731849263,97.4,1.6521428571428576,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.25,11601940773.34021,2.0601289404119227,2.1725640116847558,0.1308411214953271,0.33131628697030735,2.1407325824979218,0.05065295762727606,0.06538482845402616,0.05801889304065111,2.2047294369271224,0.06399685442920067,0.0442892313287413,0.7039000890543297,0.20530111352303537,0.951328319827945,0.08588689551005926,0.08170663600082295,0.13221625578007823,432993.6428305599,0.1939300358346574,0.032815724537822485,0.9837128242360789,2.2047294369271224,2.1939300358346574,0.010799401092465022,1.0476277972065482,6.464334527855247,3.2815724538822484,1.948357673935368,1.0,432993.6428305599,10590.597429831545,156.91761859127976,187.7684160181942,NGC2403_segment_structure_v8_5.csv
NGC2403,3,3.08,6.46,4.77,3.38,0.3499999999999999,11601940773.34021,102.2789615368371,113.33333333333333,3.049333333333334,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.25,11601940773.34021,2.02360488071299,2.2310702959455555,0.068359375,0.5,2.206117410951948,0.06538482845402616,0.012871023333914433,0.039127925893970295,2.2047294369271224,0.001387974024825489,0.011576309436085886,1.0,0.20530111352303537,0.9988348905646626,0.040515899918795784,0.040468694461519204,0.26900044306001314,432993.6428305599,0.1939300358346574,0.032815724537822485,0.9837128242360789,2.2047294369271224,2.1939300358346574,0.010799401092465022,1.0476277972065482,6.464334527855247,3.2815724538822484,1.948357673935368,1.0,432993.6428305599,5119.1488453599195,156.26368737607217,186.76007594081938,NGC2403_segment_structure_v8_5.csv
NGC2403,4,6.96,13.42,10.19,6.46,0.35,15877862509.71826,81.8632729073081,128.64285714285714,1.542142857142857,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.25,11601940773.34021,2.009049101925081,2.231053864935059,0.033206831119544596,0.5778011707786531,2.2189884342858623,0.012871023333914433,0.006562222973505172,0.009716623153709802,2.2047294369271224,0.014258997358739922,0.0015041212312244276,1.1698513927114902,0.20530111352303537,0.9864776248259731,0.02804791304761148,0.027668638644533197,0.4477398487036976,432993.6428305599,0.1939300358346574,0.032815724537822485,0.9837128242360789,2.2047294369271224,2.1939300358346574,0.010799401092465022,1.0476277972065482,6.464334527855247,3.2815724538822484,1.948357673935368,1.0,432993.6428305599,1867.0626894752193,137.93247915466642,160.39627257779057,NGC2403_segment_structure_v8_5.csv
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.3499999999999999,17889988026.41557,66.5174223471972,134.26666666666668,4.1066666666666665,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.25,11601940773.34021,2.004681503536592,2.2191829562480456,0.019729425028184887,0.6066062395540476,2.212426211312357,0.006562222973505172,,0.006562222973505172,2.2047294369271224,0.00769677438523475,0.0009428481283771797,1.2417658237558797,0.20530111352303537,0.9925693690058136,0.017706335601108594,0.01757476635499753,0.5700602225344804,432993.6428305599,0.1939300358346574,0.032815724537822485,0.9837128242360789,2.2047294369271224,2.1939300358346574,0.010799401092465022,1.0476277972065482,6.464334527855247,3.2815724538822484,1.948357673935368,1.0,432993.6428305599,816.212222950088,119.13828333957994,136.44961719556946,NGC2403_segment_structure_v8_5.csv
NGC2683,1,2.89,14.43,8.66,11.54,0.35,84685016096.57663,205.08057127289626,195.8,7.4,5,34.62,2.89,2.4831750476237224,0.4027102321912228,2.89,87728368397.12518,2.0285978934389584,2.4876826638554617,0.038845726970033294,0.4911742574119594,2.4540358539743328,,0.15304863334655572,0.15304863334655572,2.374856860604672,0.07917899336966094,0.01326244656382632,0.9825015881795538,0.4027102321912228,0.9442407185096289,0.22816401206785145,0.21544175069298768,2.4861978029970775,1000000.0,0.3775115373010549,0.15304863334655572,0.9460605715135442,2.374856860604672,2.377511537301055,0.002654676696383085,1.0050035355898328,12.583717910068497,15.304863334755572,0.993270019049889,1.0,1922530.9786097312,33151.24891323061,535.8076292743293,573.7140893356155,NGC2683_segment_structure_v8_5.csv
NGC2683,2,17.31,34.62,25.964999999999996,17.31,0.35000000000000003,90771720697.67372,122.61999609272766,162.5,10.333333333333334,6,34.62,2.89,2.4831750476237224,0.4027102321912228,2.89,87728368397.12518,2.005818985502777,2.3087073069711983,0.013300399011970361,0.508524792105096,2.300987220627777,0.15304863334655572,,0.15304863334655572,2.374856860604672,0.07386963997689477,0.00884163104255088,1.0171974386640257,0.4027102321912228,0.9478804245174596,0.23082068641067716,0.21879041022236406,6.273459803946199,1000000.0,0.3775115373010549,0.15304863334655572,0.9460605715135442,2.374856860604672,2.377511537301055,0.002654676696383085,1.0050035355898328,12.583717910068497,15.304863334755572,0.993270019049889,1.0,1922530.9786097312,9305.301855515481,491.5406012512694,506.60421052359993,NGC2683_segment_structure_v8_5.csv
NGC2841,1,3.44,6.51,4.975,3.07,0.35,92633579806.6337,282.98789495077904,305.2,9.407,10,63.64,3.44,2.917770732084279,0.3427274079501306,3.44,237205794261.24164,2.076002202137157,2.3685425924783305,0.06572769953051644,0.2808445173303393,2.313062072282436,,0.07120157328842058,0.07120157328842058,2.322465733434182,0.009403661151746068,0.023192694882221688,0.6249159033890626,0.3427274079501306,0.9922441332292029,0.05037149289806392,0.049980818310100386,0.15344111221200818,708034.3627138668,0.3252159637757419,0.055560619591396423,0.9570753448592516,2.322465733434182,2.325215963775742,0.002750230341559856,1.0072226876906138,10.840532125891396,5.556061959239642,1.1671082928341117,1.0,708034.3627138668,4389.447947239157,147.77517903056253,319.2485743526319,NGC2841_segment_structure_v8_5.csv
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,0.35,160890513395.27368,287.1012252081233,320.4,12.484,10,63.64,3.44,2.917770732084279,0.3427274079501306,3.44,237205794261.24164,2.0330577501372553,2.4190434984061016,0.04002287021154946,0.40414972533252663,2.3842636455708566,0.07120157328842058,0.009483939360686922,0.04034275632455375,2.322465733434182,0.061797912136674515,0.01314096297216735,0.8235738946470844,0.3427274079501306,0.9462109815787754,0.0841203881264704,0.07959563501993511,0.39779971172320894,708034.3627138668,0.3252159637757419,0.055560619591396423,0.9570753448592516,2.322465733434182,2.325215963775742,0.002750230341559856,1.0072226876906138,10.840532125891396,5.556061959239642,1.1671082928341117,1.0,708034.3627138668,3996.477743710747,183.16776642862607,340.5547594359199,NGC2841_segment_structure_v8_5.csv
NGC2841,3,10.27,22.51,16.39,12.240000000000002,0.35,248682492174.21008,255.45435211970735,313.3,7.552,10,63.64,3.44,2.917770732084279,0.3427274079501306,3.44,237205794261.24164,2.0120622122106697,2.4093398541931164,0.020908004778972516,0.5118100170691119,2.3937475849315435,0.009483939360686922,0.10860809099507795,0.05904601517788244,2.322465733434182,0.07128185149736144,0.004824020847866211,1.023905695558829,0.3427274079501306,0.9410057551017906,0.1334434449788139,0.12557104970567304,1.934789360120647,708034.3627138668,0.3252159637757419,0.055560619591396423,0.9570753448592516,2.322465733434182,2.325215963775742,0.002750230341559856,1.0072226876906138,10.840532125891396,5.556061959239642,1.1671082928341117,1.0,708034.3627138668,5099.529622776251,289.1042900361438,385.7955631344173,NGC2841_segment_structure_v8_5.csv
NGC2841,4,24.59,43.08,33.835,18.49,0.35,237205794261.24164,173.643980848759,284.1,3.818,10,63.64,3.44,2.917770732084279,0.3427274079501306,3.44,237205794261.24164,2.004318851661471,2.290889806927324,0.010238408658768464,0.5,2.2851394939364655,0.10860809099507795,0.03527247177905757,0.07194028138706776,2.322465733434182,0.03732623949771652,0.0038907669760447684,1.0,0.3427274079501306,0.9696204742998681,0.10926652088478428,0.10594705580540098,3.893750421962511,708034.3627138668,0.3252159637757419,0.055560619591396423,0.9570753448592516,2.322465733434182,2.325215963775742,0.002750230341559856,1.0072226876906138,10.840532125891396,5.556061959239642,1.1671082928341117,1.0,708034.3627138668,2408.1863202611044,285.4487417138749,334.11557316449444,NGC2841_segment_structure_v8_5.csv
NGC2841,5,45.16,63.64,54.4,18.480000000000004,0.35,247169004647.41183,139.79052367963587,284.1,5.090000000000001,10,63.64,3.44,2.917770732084279,0.3427274079501306,3.44,237205794261.24164,2.002272409517786,2.2529688139496633,0.00639269406392694,0.5102846085393153,2.249867022157408,0.03527247177905757,,0.03527247177905757,2.322465733434182,0.07259871127677409,0.0019086835378277901,1.0207851832996637,0.3427274079501306,0.9362953800866206,0.1101133053683987,0.10309857910249898,5.799012163776693,708034.3627138668,0.3252159637757419,0.055560619591396423,0.9570753448592516,2.322465733434182,2.325215963775742,0.002750230341559856,1.0072226876906138,10.840532125891396,5.556061959239642,1.1671082928341117,1.0,708034.3627138668,1387.4283229311718,274.7291407322051,308.2490734423748,NGC2841_segment_structure_v8_5.csv
NGC2998,1,0.33,2.64,1.485,2.31,0.35,3891268650.0421133,106.16040290309387,135.75,16.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.33,107837978329.4842,2.1241413380753453,2.020794044005627,0.19073569482288827,0.03482766379652737,2.108184203750998,,0.0786853698660881,0.0786853698660881,2.211300975018032,0.10311677126703422,0.034062930677960214,0.18995894060897434,0.20605909407664674,0.9280944121317336,0.03453494213009115,0.03205168681423039,0.0740393965408722,771075.0396944737,0.17378300034455618,0.05905550995729336,0.9655923761282498,2.211300975018032,2.173783000344556,0.03751797467347595,1.1611330300337261,5.792766678185206,5.905550995829336,1.9411907142098592,1.0,771075.0396944737,25888.483318803253,196.07242980190466,222.96732691802637,NGC2998_segment_structure_v8_5.csv
NGC2998,2,3.63,17.48,10.555,13.850000000000001,0.35,107837978329.4842,209.6220323237375,208.25,8.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.33,107837978329.4842,2.009331026168625,2.198265904035602,0.03209536909674461,0.5,2.186869573617086,0.0786853698660881,0.03942565004849863,0.05905550995729336,2.211300975018032,0.02443140140094613,0.00426393573698869,1.0,0.20605909407664674,0.9811899656960574,0.08348691135823949,0.08191651969166079,1.2085831942703742,771075.0396944737,0.17378300034455618,0.05905550995729336,0.9655923761282498,2.211300975018032,2.173783000344556,0.03751797467347595,1.1611330300337261,5.792766678185206,5.905550995829336,1.9411907142098592,1.0,771075.0396944737,8364.822323132492,297.1375096157728,363.6373138942118,NGC2998_segment_structure_v8_5.csv
NGC2998,3,22.46,42.28,32.370000000000005,19.82,0.35,202470164762.45087,164.01718193338445,211.2,2.4,5,42.28,0.33,4.852976785523648,0.20605909407664674,0.33,107837978329.4842,2.0023399381146763,2.229966763142781,0.010696821515892418,0.6524809911368165,2.2262952236655846,0.03942565004849863,,0.03942565004849863,2.211300975018032,0.0149942486475525,0.00198918516894544,1.3702337155344084,0.20605909407664674,0.9874927505569584,0.07456797998929625,0.07363533966310638,2.6680356263931424,771075.0396944737,0.17378300034455618,0.05905550995729336,0.9655923761282498,2.211300975018032,2.173783000344556,0.03751797467347595,1.1611330300337261,5.792766678185206,5.905550995829336,1.9411907142098592,1.0,771075.0396944737,1963.3732539791654,252.09996475863616,300.75908664689507,NGC2998_segment_structure_v8_5.csv
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,0.35,2461588022.4261374,81.2176359373249,64.87777777777778,13.370000000000001,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.32,36629249726.67642,2.109936918605568,2.0362474685516663,0.17902813299232734,0.06297097131111369,2.090762069762088,,0.0076961097668823975,0.0076961097668823975,2.191418790955784,0.10065672119369617,0.002994595240032061,0.2592350221203569,0.20302752830954443,0.9075736970616511,0.028088848530868876,0.025492700107365394,0.06551623927592908,341453.7960398461,0.1585133873854354,0.02787892851870515,0.9619206803640303,2.191418790955784,2.1585133873854354,0.03290540357034866,1.1765384125988945,5.283779579547847,2.787892851970515,1.9701761792136097,1.0,341453.7960398461,8684.220301829695,118.06004228542636,143.2985623503757,NGC3198_segment_structure_v8_5.csv
