galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,mass_bar_segment_msun,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,r_ref_kpc,mass_ref_gal_msun,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,Dw_i,sigma_left_i,sigma_right_i,sigma_i,alpha_star_gal,alpha_relax_i,neighbor_gradient_i,mass_norm_i,kappa_dyn_gal,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
DDO168,1,0.41,2.06,1.235,1.6500000000000001,0.35,149296598.71170092,22.801932483717632,29.560000000000002,1.8199999999999998,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.41,383130671.0139998,2.1795915369944274,2.236853866913117,0.22082018927444794,0.28040749826472355,2.2116264526155924,,0.17171513697241902,0.17171513697241902,2.3498850069690236,0.13825855435343115,0.10406977998328425,0.6242398603227362,0.43337859720861316,0.9057217242557306,0.19349793377697164,0.17525528222039993,0.2891712156636599,1000000.0,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,189592.49662420945,483.8871080437034,484.42405127727784,DDO168_segment_structure_v8_5.csv
DDO168,2,2.47,4.12,3.295,1.65,0.35,616964743.3162987,28.378055993417775,53.36,2.06,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.41,383130671.0139998,2.045859742654258,2.43587093851836,0.09602194787379972,0.6169058816547434,2.3833415895880115,0.17171513697241902,,0.17171513697241902,2.3498850069690236,0.03345658261898787,0.10406977998328426,1.2689856566503228,0.43337859720861316,0.9763226305684655,0.2603599693117774,0.25419533013319945,0.7085935103834389,1000000.0,0.29748402110180194,0.17171513697241902,0.941022177412098,2.3498850069690236,2.297484021101802,0.05240098586722164,1.1116817559568863,9.916134036760065,17.171513697341904,0.9229805130584875,1.0,1747125.0049051673,65265.90022436523,463.7360685123419,464.6035463717954,DDO168_segment_structure_v8_5.csv
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,11131020785.313784,133.77833333333334,101.05,6.423333333333333,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.45,318887922616.5412,2.0634496349434133,2.0177045319906908,0.11570247933884298,0.033728429860948456,2.0531243916273874,,0.03853077998641341,0.03853077998641341,2.175182065267949,0.12205767364056186,0.008658602244137845,0.1868307947368393,0.21997883505866708,0.9013469581805319,0.030002868416687853,0.02704299418407235,0.12034132411912196,389277.85801701597,0.1397145687625513,0.03833253165232357,0.9626705549075606,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,6546.767456933986,132.33519164341138,188.17344503607004,ESO563-G021_segment_structure_v8_5.csv
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,116796493543.85747,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.45,318887922616.5412,2.0126677402845137,2.1027738799574247,0.03773584905660378,0.2680759035936196,2.0916551716138008,0.03853077998641341,0.08904677015009277,0.06378877506825309,2.175182065267949,0.08352689365414845,0.010173648336244512,0.6051957459915964,0.21997883505866708,0.9373011121081822,0.08915481602870469,0.08356490821350529,0.6442932986178003,389277.85801701597,0.1397145687625513,0.03833253165232357,0.9626705549075606,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,3148.667971918554,167.63609888497496,290.49177317468036,ESO563-G021_segment_structure_v8_5.csv
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,318887922616.5412,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.45,318887922616.5412,2.005299968245645,2.1875080050378832,0.019401330376940133,0.5,2.1807019417638935,0.08904677015009277,0.015587725262934171,0.05231724770651347,2.175182065267949,0.00551987649594432,0.006154970318413348,1.0,0.21997883505866708,0.9955506056885917,0.05783712420245779,0.057579784031043156,1.1337214628816672,389277.85801701597,0.1397145687625513,0.03833253165232357,0.9626705549075606,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,1410.296423642057,157.9498139733884,320.122301911079,ESO563-G021_segment_structure_v8_5.csv
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,413175036792.438,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.45,318887922616.5412,2.0030050393335017,2.2005280511398766,0.012376237623762377,0.5643982276142055,2.1962896670268277,0.015587725262934171,0.01948799524598055,0.01753786025445736,2.175182065267949,0.02110760175887849,0.0020632776769949836,1.1382771073589164,0.21997883505866708,0.9806407940186377,0.04398924471308882,0.04313764786372358,1.5003914697233176,389277.85801701597,0.1397145687625513,0.03833253165232357,0.9626705549075606,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,748.7251419953078,144.6094506452775,290.7512046050719,ESO563-G021_segment_structure_v8_5.csv
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,390785484287.7604,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.45,318887922616.5412,2.0020507776883734,2.1796859293444997,0.009088548428979487,0.5506553866692334,2.176801671780847,0.01948799524598055,,0.01948799524598055,2.175182065267949,0.001619606512897942,0.0022927053230565354,1.1070065131379405,0.21997883505866708,0.998513304541859,0.02336625262380034,0.02333151412215076,1.698709339761599,389277.85801701597,0.1397145687625513,0.03833253165232357,0.9626705549075606,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,454.1110234683647,131.63919118390538,247.73624614112393,ESO563-G021_segment_structure_v8_5.csv
IC4202,1,0.77,5.5,3.135,4.73,0.35000000000000003,25072496151.305027,185.46424308097198,141.28571428571428,3.8814285714285712,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.77,174464023029.3473,2.065186868891043,2.0827031656422044,0.10043041606886659,0.12565367108867626,2.074922127211671,,0.08966658632776792,0.08966658632776792,2.2200835377306456,0.1451614105189747,0.018956994995299768,0.37909306988081265,0.2844458415137807,0.8955032863465558,0.08902166621859345,0.07971919465479661,0.377071790717188,434614.8228156121,0.18882734394639805,0.04327454651709384,0.9621256891580778,2.2200835377306456,2.188827343946398,0.03125619378424771,1.1346658302602843,6.294244798246602,4.327454651809384,1.4062430931363599,1.0,434614.8228156121,16674.525614881248,228.63647522355814,294.40044711965123,IC4202_segment_structure_v8_5.csv
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,0.35000000000000003,98111867703.5664,226.0905499053524,236.0,4.985,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.77,174464023029.3473,2.016870468827298,2.181281052876144,0.040674026728646145,0.3599433076775757,2.164588713539439,0.08966658632776792,0.06523104125746526,0.07744881379261659,2.2200835377306456,0.05549482419120677,0.019508517328115007,0.7499077298368989,0.2844458415137807,0.9573191845617185,0.0996954617567075,0.09544037815343522,0.7559700919863259,434614.8228156121,0.18882734394639805,0.04327454651709384,0.9621256891580778,2.2200835377306456,2.188827343946398,0.03125619378424771,1.1346658302602843,6.294244798246602,4.327454651809384,1.4062430931363599,1.0,434614.8228156121,4821.420310324033,199.5014402497508,301.5257226477196,IC4202_segment_structure_v8_5.csv
IC4202,3,11.02,14.59,12.805,3.5700000000000003,0.35000000000000003,174464023029.3473,242.07131385357616,243.16666666666666,6.103333333333333,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.77,174464023029.3473,2.0093972140034273,2.2415488143602214,0.026605853287723302,0.5,2.229819754796904,0.06523104125746526,0.009847933430401135,0.0375394873439332,2.2200835377306456,0.00973621706625849,0.010515262561325825,1.0,0.2844458415137807,0.9914357884277188,0.04727570441019169,0.04687082527539418,0.9232989382194832,434614.8228156121,0.18882734394639805,0.04327454651709384,0.9621256891580778,2.2200835377306456,2.188827343946398,0.03125619378424771,1.1346658302602843,6.294244798246602,4.327454651809384,1.4062430931363599,1.0,434614.8228156121,2447.3027862603303,177.02460896175856,299.8937031163877,IC4202_segment_structure_v8_5.csv
