galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected
F571-V1,F571-V1.csv,data/derived/sparc/F571-V1.csv,F,571-V1,F571V1,7,SPARC
F574-1,F574-1.csv,data/derived/sparc/F574-1.csv,F,574-1,F5741,14,SPARC
F574-2,F574-2.csv,data/derived/sparc/F574-2.csv,F,574-2,F5742,5,SPARC
F579-V1,F579-V1.csv,data/derived/sparc/F579-V1.csv,F,579-V1,F579V1,14,SPARC
F583-1,F583-1.csv,data/derived/sparc/F583-1.csv,F,583-1,F5831,25,SPARC
F583-4,F583-4.csv,data/derived/sparc/F583-4.csv,F,583-4,F5834,12,SPARC
IC2574,IC2574.csv,data/derived/sparc/IC2574.csv,IC,2574,IC2574,34,SPARC
IC4202,IC4202.csv,data/derived/sparc/IC4202.csv,IC,4202,IC4202,32,SPARC
KK98-251,KK98-251.csv,data/derived/sparc/KK98-251.csv,KK,98-251,KK98251,15,SPARC
NGC0024,NGC0024.csv,data/derived/sparc/NGC0024.csv,NGC,0024,NGC0024,29,SPARC
NGC0055,NGC0055.csv,data/derived/sparc/NGC0055.csv,NGC,0055,NGC0055,21,SPARC
NGC0100,NGC0100.csv,data/derived/sparc/NGC0100.csv,NGC,0100,NGC0100,21,SPARC
NGC0247,NGC0247.csv,data/derived/sparc/NGC0247.csv,NGC,0247,NGC0247,26,SPARC
NGC0289,NGC0289.csv,data/derived/sparc/NGC0289.csv,NGC,0289,NGC0289,28,SPARC
NGC0300,NGC0300.csv,data/derived/sparc/NGC0300.csv,NGC,0300,NGC0300,25,SPARC
NGC0801,NGC0801.csv,data/derived/sparc/NGC0801.csv,NGC,0801,NGC0801,13,SPARC
NGC0891,NGC0891.csv,data/derived/sparc/NGC0891.csv,NGC,0891,NGC0891,18,SPARC
NGC1003,NGC1003.csv,data/derived/sparc/NGC1003.csv,NGC,1003,NGC1003,36,SPARC
NGC1090,NGC1090.csv,data/derived/sparc/NGC1090.csv,NGC,1090,NGC1090,24,SPARC
NGC1705,NGC1705.csv,data/derived/sparc/NGC1705.csv,NGC,1705,NGC1705,14,SPARC
NGC2366,NGC2366.csv,data/derived/sparc/NGC2366.csv,NGC,2366,NGC2366,26,SPARC
NGC2403,NGC2403.csv,data/derived/sparc/NGC2403.csv,NGC,2403,NGC2403,73,SPARC
NGC2683,NGC2683.csv,data/derived/sparc/NGC2683.csv,NGC,2683,NGC2683,11,SPARC
NGC2841,NGC2841.csv,data/derived/sparc/NGC2841.csv,NGC,2841,NGC2841,50,SPARC
NGC2903,NGC2903.csv,data/derived/sparc/NGC2903.csv,NGC,2903,NGC2903,34,SPARC
NGC2915,NGC2915.csv,data/derived/sparc/NGC2915.csv,NGC,2915,NGC2915,30,SPARC
NGC2955,NGC2955.csv,data/derived/sparc/NGC2955.csv,NGC,2955,NGC2955,24,SPARC
NGC2976,NGC2976.csv,data/derived/sparc/NGC2976.csv,NGC,2976,NGC2976,27,SPARC
NGC2998,NGC2998.csv,data/derived/sparc/NGC2998.csv,NGC,2998,NGC2998,13,SPARC
NGC3109,NGC3109.csv,data/derived/sparc/NGC3109.csv,NGC,3109,NGC3109,25,SPARC
NGC3198,NGC3198.csv,data/derived/sparc/NGC3198.csv,NGC,3198,NGC3198,43,SPARC
NGC3521,NGC3521.csv,data/derived/sparc/NGC3521.csv,NGC,3521,NGC3521,41,SPARC
NGC3726,NGC3726.csv,data/derived/sparc/NGC3726.csv,NGC,3726,NGC3726,12,SPARC
