galaxy_id,filename,catalog_prefix,catalog_number,name_normalized,row_count,galaxy_name_loose,s4g_name_loose,Name,RAJ2000,DEJ2000,amaj,PA,ell,3.6,e_3.6,4.5,e_4.5,c31,c42,M3.6,M4.5,logM*,Dmean,e_Dmean,TT,e_TT,Vr,e_Vr,match_status
CamB,CamB.csv,CAMB,,CAMB,9,CAMB,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
D512-2,D512-2.csv,OTHER,512-2,D5122,4,D5122,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
D564-8,D564-8.csv,OTHER,564-8,D5648,6,D5648,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
D631-7,D631-7.csv,OTHER,631-7,D6317,16,D6317,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
DDO064,DDO064.csv,DDO,064,DDO064,14,DDO64,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
DDO154,DDO154.csv,DDO,154,DDO154,12,DDO154,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
DDO161,DDO161.csv,DDO,161,DDO161,31,DDO161,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
DDO168,DDO168.csv,DDO,168,DDO168,10,DDO168,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
DDO170,DDO170.csv,DDO,170,DDO170,8,DDO170,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
ESO079-G014,ESO079-G014.csv,ESO,079-G014,ESO079G014,15,ESO79G14,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
ESO116-G012,ESO116-G012.csv,ESO,116-G012,ESO116G012,15,ESO116G12,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
ESO444-G084,ESO444-G084.csv,ESO,444-G084,ESO444G084,7,ESO444G84,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
ESO563-G021,ESO563-G021.csv,ESO,563-G021,ESO563G021,30,ESO563G21,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F561-1,F561-1.csv,F,561-1,F5611,6,F5611,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F563-1,F563-1.csv,F,563-1,F5631,17,F5631,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F563-V1,F563-V1.csv,F,563-V1,F563V1,6,F563V1,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F563-V2,F563-V2.csv,F,563-V2,F563V2,10,F563V2,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F565-V2,F565-V2.csv,F,565-V2,F565V2,7,F565V2,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F567-2,F567-2.csv,F,567-2,F5672,5,F5672,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F568-1,F568-1.csv,F,568-1,F5681,12,F5681,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F568-3,F568-3.csv,F,568-3,F5683,18,F5683,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F568-V1,F568-V1.csv,F,568-V1,F568V1,15,F568V1,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F571-8,F571-8.csv,F,571-8,F5718,13,F5718,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F571-V1,F571-V1.csv,F,571-V1,F571V1,7,F571V1,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F574-1,F574-1.csv,F,574-1,F5741,14,F5741,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F574-2,F574-2.csv,F,574-2,F5742,5,F5742,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F579-V1,F579-V1.csv,F,579-V1,F579V1,14,F579V1,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
