galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,mu_shell_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_bar_internal_km2s2_per_kpc,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_segment_kms,source_file
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,0.35,135.7096869277186,194295136934.74173,212385271253.0604,18090134318.318665,133300243.54085934,229.03959164474358,245.83333333333334,9.143333333333334,6,25.9,-3.0,1.9500000000000002,2.5890607066984446,-0.6390607066984444,-0.20441998425197516,0.8434806909504196,0.15027150746369555,0.5713677856384819,0.5,0.6492277992277992,1.2301888635735503,0.6492277992277992,3119.782012535885,561.7685825608263,0.9927999258799679,66.93676588317918,2651.814710655502,66.92255320574458,3186.7045657416293,231.48312524446678,IC4202_segment_structure_v7.csv
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,0.35,314.3256441059133,215103318543.75003,227161320071.7987,12058001528.048676,38361494.69238241,205.63923030792338,241.71428571428572,12.457142857142857,7,25.9,-3.0,1.9500000000000002,2.5890607066984446,-0.6390607066984444,0.0,0.6390607066984444,0.2970331222152577,0.2772555672202812,0.5,0.8787644787644787,1.1299530648812968,0.8787644787644787,1857.9742109681529,334.54684395670625,0.9721598319633684,95.92512821483606,1579.27807932293,95.80733554185325,1953.7815465100061,210.87453141279943,IC4202_segment_structure_v7.csv
NGC0100,1,0.23,1.59,0.91,1.36,0.35,2.72162454765791,5040132.2045799615,650641540.976212,645601408.7716321,237211781.95839077,27.599172151429467,25.6275,5.07,4,9.62,-0.27284164154938956,2.904505425457714,2.6735715984191133,0.23093382703860055,0.0,0.23093382703860055,1.1577880234885831,0.7034504565076578,0.5,0.0945945945945946,1.1081774351584106,0.0945945945945946,837.0486851035602,150.9459935791726,0.6468011707890802,11.849419192281422,711.4913823380261,11.848323767739084,848.8970088712992,27.79381726342897,NGC0100_segment_structure_v7.csv
NGC0100,2,2.05,3.42,2.735,1.37,0.35,8.239973415357793,1046830931.1285288,2494491340.2047477,1447660409.0762188,175687509.66818005,51.73566053421866,58.800000000000004,4.0,4,9.62,-0.27284164154938956,2.904505425457714,2.6735715984191133,0.23093382703860055,0.0,0.23093382703860055,1.1577880234885831,0.6372704729337906,0.5,0.28430353430353433,1.1698966948154346,0.28430353430353433,978.6393312292176,176.3936645183765,0.6468011707890802,43.93519976789525,831.843431544835,43.894391416369515,1022.5337226455872,52.88317058796381,NGC0100_segment_structure_v7.csv
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,0.35,19.17144350482557,2866160585.5505,3791017993.8664155,924857408.3159156,48241406.969857186,55.162498029489754,76.9,4.388,5,9.62,-2.3063732127560623,2.192769375535378,2.6735715984191133,-0.4808022228837352,-0.7117360499223357,1.192538272806071,0.04694226464738244,0.3254246431947749,0.5,0.497920997920998,1.114815537262585,0.497920997920998,635.2612085289063,114.47203839689523,0.9992951041394078,2.9807164736131533,539.9720272495704,2.9806861980011514,638.2418947269075,55.291759564530835,NGC0100_segment_structure_v7.csv
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,0.35,20.457046050527573,3883281668.2981052,4143246871.941055,259965203.64294958,12707856.403160673,50.06994501779251,82.6,5.423333333333333,3,9.62,-3.0,1.9500000000000002,2.6735715984191133,-0.7235715984191131,-0.24276937553537792,0.966340973954491,0.09977417986017338,0.11275040452995702,0.5,0.7110187110187111,1.0475366560214543,0.7110187110187111,366.5203792521587,66.03783481021236,0.9968195020103111,4.891902323049778,311.5423223643349,4.891500314638196,371.4118795667969,50.40294888433504,NGC0100_segment_structure_v7.csv
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,0.35,31.737625623625505,4233213632.928847,4646754734.69568,413541101.7668328,13029994.955230445,46.49011326914392,88.84,8.472,5,9.62,0.09935382973676514,3.0347738404078677,2.6735715984191133,0.3612022419887544,1.0847738404078675,1.445976082396622,0.020168575730303753,0.11527908994768546,0.5,0.9147609147609149,1.055128267436003,0.9147609147609149,245.6057536111172,44.2740104017551,0.9998698416081183,0.861748270502024,208.76489056944962,0.8617433760720158,246.4674969871892,46.57160050381847,NGC0100_segment_structure_v7.csv
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.35,2.682150435965554,20040562.57861709,3020680897.9960055,3000640335.4173884,1118744234.1716304,67.7444087710755,67.01333333333334,1.6440000000000003,15,20.87,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.29533444530675945,0.9341134146643493,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,5305.554820511643,955.6019251078557,0.7549850314651946,30.542443077034783,4509.7215974348965,30.54197611386034,5336.096796625503,67.93911781206067,NGC2403_segment_structure_v7.csv
NGC2403,2,1.67,2.98,2.325,1.31,0.35,6.697954077269779,3444443969.9970465,7404234806.122429,3959790836.1253824,591194085.6034464,103.12050731849263,97.4,1.6521428571428576,14,20.87,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.29533444530675945,0.9341134146643493,0.8553228361138318,0.5,0.11140392908481074,1.142741522849705,0.11140392908481074,4573.694206289588,823.7026178268832,0.7549850314651946,73.95319011764437,3887.6400753461494,73.94427115127763,4647.638477440865,103.9507549758539,NGC2403_segment_structure_v7.csv
NGC2403,3,3.08,6.46,4.77,3.38,0.35,35.455449201736755,7640088915.136563,13114479958.892422,5474391043.755858,154401965.4808858,102.2789615368371,113.33333333333333,3.049333333333334,15,20.87,-1.8682659707875529,2.3461069102243566,2.478888403399558,-0.1327814931752016,-0.42811593848196106,0.5608974316571627,0.38544091213167847,0.606921275899052,0.5,0.22855773838045038,1.1450775896374286,0.22855773838045038,2193.0788203467096,394.97785311976713,0.9535631180472462,37.99363493788605,1864.116997294703,37.9883748525347,2231.0671951992445,103.16099321497634,NGC2403_segment_structure_v7.csv
NGC2403,4,6.96,13.42,10.19,6.46,0.35,144.76201337144172,13471590229.974586,17450481955.67915,3978891725.704563,27485744.588915125,81.8632729073081,128.64285714285714,1.542142857142857,14,20.87,-2.27372097397845,2.2041976591075425,2.478888403399558,-0.2746907442920157,-0.14190925111681407,0.41659999540882975,0.6235190758836426,0.2155985728250985,0.5,0.4882606612362242,1.0753254532288565,0.4882606612362242,657.6639304314431,118.47387580522154,0.8828771943002753,34.24240823223021,559.0143408667266,34.19964461540093,691.8635750468441,83.96481304527117,NGC2403_segment_structure_v7.csv
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.35,266.16854731015394,17522148124.69919,17967974750.924805,445826626.22561646,1674978.6206185934,66.5174223471972,134.26666666666668,4.1066666666666665,15,20.87,-3.0,1.9500000000000002,2.478888403399558,-0.528888403399558,-0.25419765910754233,0.7830860625071003,0.18378362891157937,0.01647385269554338,0.5,0.8332534738859607,1.0075188903100876,0.8332534738859607,254.43171223205343,45.82100397548676,0.9892496422577101,6.993710577269436,216.2669553972454,6.991273665807431,261.4229858978609,67.42511197442538,NGC2403_segment_structure_v7.csv
NGC2683,1,2.89,14.43,8.66,11.54,0.35,219.77162204634766,33372527300.734028,93009804358.6125,59637277057.87848,271360226.14103276,205.08057127289626,195.8,7.4,5,34.62,-3.0,1.9500000000000002,1.95,2.220446049250313e-16,0.0,2.220446049250313e-16,2.4999999999999982,0.730719681428612,0.5,0.25014442518775276,1.1827326799020386,0.25014442518775276,4856.586687484698,874.4821180188578,7.401486830834377e-16,4.787263560025641e-13,4128.098684361993,4.787263560025641e-13,4856.586687484699,205.0805712728963,NGC2683_segment_structure_v7.csv
NGC2683,2,17.31,34.62,25.964999999999996,17.31,0.35,988.4012990358113,90715075997.87022,83880670504.61414,1e-12,1.0117348095105734e-15,122.61999609272766,162.5,10.333333333333334,6,34.62,-3.0,1.9500000000000002,1.95,2.220446049250313e-16,0.0,2.220446049250313e-16,2.4999999999999982,1.0117348095105735e-23,0.5,0.75,1.000000000000433,0.75,579.0742708176602,104.23336892717884,7.401486830834377e-16,1.446528576465654e-13,492.2131301950112,1.446528576465654e-13,579.0742708176604,122.61999609272767,NGC2683_segment_structure_v7.csv
