seed_name,seed_catalog_norm,seed_ra_deg,seed_dec_deg,nearest_sparc_name,nearest_sparc_catalog_norm,nearest_sep_deg
1069.0,UGC1069,337.24724999999995,32.5014111,UGC12732,UGC12732,16.797299414230736
1081.0,UGC1081,340.415496,21.4404275,UGC12732,UGC12732,14.30756314608295
1087.0,UGC1087,342.914625,14.2774972,UGC12732,UGC12732,16.56450353133621
1167.0,UGC1167,24.58685,7.5340944,NGC7814,NGC7814,14.874725576704213
1212.0,UGC1212,26.0339028,34.3872331,NGC7814,NGC7814,22.076237391355
1497.0,UGC1497,30.2775397,31.8824306,NGC7814,NGC7814,22.7550234169166
1529.0,UGC1529,30.6291733,11.0930122,NGC1090,NGC1090,15.75995851753128
1559.0,UGC1559,30.99583,15.31806,NGC7814,NGC7814,18.12338953797785
1579.0,UGC1579,31.3135083,6.1069222,NGC1090,NGC1090,12.10983870061018
16.0,UGC16,14.304942,7.4787147,NGC7814,NGC7814,8.9121260152396
1635.0,UGC1635,32.1155667,6.3948694,NGC1090,NGC1090,11.597080699539312
1721.0,UGC1721,33.6421925,37.4079622,NGC7814,NGC7814,28.475346581182595
1727.0,UGC1727,33.6398353,-0.7667172,NGC1090,NGC1090,8.017985976225766
1862.0,UGC1862,36.1032914,-2.1623125,NGC1090,NGC1090,5.858422068504967
1908.0,UGC1908,36.6553483,12.1552056,NGC1090,NGC1090,13.353316924980037
2109.0,UGC2109,39.4934111,34.2410953,NGC7814,NGC7814,30.45704918884196
2200.0,UGC2200,40.8427944,4.9683758,NGC1090,NGC1090,5.276145241721012
305.0,UGC305,114.63730799999999,13.3662661,NGC0100,NGC100,23.83435803499599
3080.0,UGC3080,67.9805458,1.1991111,UGC00191,UGC191,12.114151178342329
311.0,UGC311,117.52793399999999,30.7925333,NGC2683,NGC2683,13.495834653941511
3134.0,UGC3134,70.4510708,-1.301885,UGC00191,UGC191,13.106235074490067
3140.0,UGC3140,70.7288411,0.6186028,UGC00191,UGC191,11.2265696528754
3701.0,UGC3701,107.9278792,72.1692056,UGC04305,UGC4305,5.5314105458854765
3714.0,UGC3714,108.1361269,71.7505053,UGC04305,UGC4305,5.430681805049494
3965.0,UGC3965,115.3254386,34.2321775,NGC2683,NGC2683,14.828769979571993
3997.0,UGC3997,116.1614328,40.3663733,UGC04499,UGC4499,14.52104524484644
4036.0,UGC4036,117.97786,73.0157094,UGC04305,UGC4305,3.1169705255690197
4066.0,UGC4066,119.0649708,78.0134417,UGC04305,UGC4305,7.444982643425759
4099.0,UGC4099,118.9529211,24.7059611,NGC2683,NGC2683,15.155055889694964
4107.0,UGC4107,119.2577167,49.5673225,UGC04499,UGC4499,6.772602613867466
4139.0,UGC4139,119.84845,16.4212056,NGC2683,NGC2683,20.811802990699185
4189.0,UGC4189,120.7067944,15.8082542,NGC2683,NGC2683,20.902658314026056
4256.0,UGC4256,122.5632769,33.9566025,NGC2683,NGC2683,8.839367804839327
4368.0,UGC4368,125.6873125,24.2969442,NGC2683,NGC2683,11.227070929318531
4397.0,UGC4397,127.1663703,73.7480828,UGC04305,UGC4305,3.114309009068069
4445.0,UGC4445,127.8626875,60.99505,UGC04483,UGC4483,8.799601891558437
4458.0,UGC4458,128.0471731,22.5605569,NGC2683,NGC2683,11.761419933973592
448.0,UGC448,158.8790625,29.6416139,UGC05764,UGC5764,1.9239195426922124
4555.0,UGC4555,131.0344394,34.7172831,NGC2683,NGC2683,2.1938842021604907
4622.0,UGC4622,132.5841325,41.2894214,NGC2683,NGC2683,7.881350086447787
463.0,UGC463,163.27385850000002,14.3426106,NGC3521,NGC3521,14.7185075357012
5180.0,UGC5180,145.5137225,0.3364194,NGC3521,NGC3521,20.941888420471106
5277.0,UGC5277,147.9168117,65.4911242,NGC2976,NGC2976,2.464408863374684
5302.0,UGC5302,148.5907767,68.3323494,NGC2976,NGC2976,0.7817373781360317
5544.0,UGC5544,154.1422728,21.1230556,NGC2903,NGC2903,10.345544024678686
5577.0,UGC5577,155.0151633,38.6155397,UGC05829,UGC5829,6.166002412664973
5868.0,UGC5868,161.4455692,37.2113022,UGC05829,UGC5829,2.832038463580098
6077.0,UGC6077,165.0098775,14.8416619,NGC3521,NGC3521,14.945811946439543
678.0,UGC678,248.376813,3.5744056,UGC00634,UGC634,18.434254460708587
74.0,UGC74,32.7963285,4.6125744,NGC1090,NGC1090,10.084133583671907
