galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,rho_eff_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,sigma_desc_i,a_i,psi_i,g_bar_internal_km2s2_per_kpc,g_scale_i,g_trans_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_segment_kms,source_file
DDO168,1,0.41,2.06,1.235,1.6500000000000001,0.35,4.481246300896821,16866166.694955252,368457030.25638765,351590863.5614324,78458276.9956361,22.801932483717632,29.560000000000002,1.8199999999999998,5,4.12,3.069502157470589,3.0498658113982784,0.019636346072310573,0.828792737652092,1.0,0.4396449316696847,0.5,0.2997572815533981,1.1203530071298882,0.027483961193784084,0.2997572815533981,0.21885930646862362,420.99443319191687,421.304451561243,3.8886602466689166,424.8830934385858,22.90699937566362,DDO168_segment_structure_v5.csv
DDO168,2,2.47,4.12,3.295,1.65,0.35,11.956037701583012,460665386.16246337,752061340.5070091,291395954.3445458,24372284.666345954,28.378055993417775,53.36,2.06,5,4.12,3.026173101290877,3.0498658113982784,-0.02369271010740137,-1.0,1.0,0.1959623458854164,0.5,0.799757281553398,1.0876237298258413,-0.03315763464280815,0.799757281553398,0.48263155566197835,244.40487464811974,244.57766367762184,-7.054028521293879,237.35084612682587,27.965533036005077,DDO168_segment_structure_v5.csv
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35,26.177713485118655,444645724.9744822,35206597694.441414,34761951969.466934,1327921630.3298678,133.77833333333334,101.05,6.423333333333333,6,42.41,3.3190566089620868,3.267345864204473,0.051710744757613725,0.19342264714468899,1.0,0.9299681453968179,0.5,0.0630747465220467,1.1167792909507306,0.07226883208610684,0.0630747465220467,0.41433070985520626,6690.333633437176,6691.6090565031245,34.0646916761549,6724.398325113331,134.1184756835469,ESO563-G021_segment_structure_v5.csv
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35,123.061917647705,53413774949.71995,212118565278.51096,158704790328.79102,1289633652.4116461,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,3.315795029517921,3.267345864204473,0.048449165313448006,0.18122279713439976,1.0,0.9280385878490676,0.5,0.21044564961094084,1.2128658606640341,0.0677250013393114,0.21044564961094084,0.8322029389998141,6306.286681545866,6307.54358298361,109.03401548462378,6415.320697030489,239.28380058206432,ESO563-G021_segment_structure_v5.csv
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35,330.6699055499206,241472075206.40982,385956725096.78186,144484649890.37204,436945266.1562498,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,1.0,0.8137612782847401,0.5,0.417118604102806,1.2627827210061282,-0.09166421254095768,0.417118604102806,0.9709285881982807,4382.710257016393,4383.441870268762,-211.642681170654,4171.067575845739,271.63612686222564,ESO563-G021_segment_structure_v5.csv
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35,522.0808627478393,414032098918.601,398509622598.9384,1e-12,1.9154120967712843e-15,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,3.0,3.267345864204473,-0.26734586420447304,-1.0,1.0,1.9154120967712844e-23,0.5,0.6585710917236501,1.0000000000004057,-0.3577333700592149,0.6585710917236501,0.9962500021037501,2277.993904882615,2277.993905232615,-536.6790902346318,1741.3148146479832,220.53326908454918,ESO563-G021_segment_structure_v5.csv
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35,713.3048951828696,396669789075.10266,382575157918.20795,1e-12,1.4019250488160894e-15,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,3.0,3.267345864204473,-0.26734586420447304,-1.0,1.0,1.4019250488160894e-23,0.5,0.899787785899552,1.0000000000004743,-0.3577333700592149,0.899787785899552,0.9995153094927018,1154.202594249024,1154.202594599024,-371.5194829879024,782.6831112611217,172.8212588940504,ESO563-G021_segment_structure_v5.csv
IC4202,1,0.77,5.5,3.135,4.73,0.35,32.60968462037224,3282876490.7891593,54555844925.84128,51272968435.05212,1572323346.022806,185.46424308097198,141.28571428571428,3.8814285714285712,7,25.9,3.3380158773274773,3.2526375843660422,0.08537829296143506,0.3995733683250907,1.0,0.9402029516374184,0.5,0.12104247104247104,1.1635537496070154,0.11896359177862997,0.12104247104247104,0.4658080245285159,10971.925187112556,10973.313025755511,183.85526336539874,11155.780450477954,187.01168870487317,IC4202_segment_structure_v5.csv
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,0.35,72.07016180061143,62616475758.61854,140571648697.6012,77955172938.98267,1081656693.8569202,226.0905499053524,236.0,4.985,6,25.9,3.2963403029593303,3.2526375843660422,0.043702718593288115,0.2045302367566824,1.0,0.9153730516486979,0.5,0.3187258687258687,1.2583906437044945,0.06110757383886853,0.3187258687258687,0.8081420452949126,6192.239461720733,6193.390560956235,151.7945934079547,6344.034055128687,228.8449281174641,IC4202_segment_structure_v5.csv
IC4202,3,11.02,14.59,12.805,3.5700000000000003,0.35,100.53000672911404,153705474459.59113,191354646314.1521,37649171854.560974,374506807.2661092,242.07131385357616,243.16666666666666,6.103333333333333,6,25.9,3.186852693377614,3.2526375843660422,-0.06578489098842821,-0.307875568430706,1.0,0.7892548674356135,0.5,0.49440154440154443,1.2774771228194814,-0.09183932765713865,0.49440154440154443,0.9227725256576542,4576.221865739678,4576.899191982267,-265.4807237223575,4310.74114201732,234.94476015338537,IC4202_segment_structure_v5.csv
