galaxy_name,status,message,output_csv,n_points,rmse_kms,mae_kms,r2,Dw_min,Dw_max,beta_min,beta_max
DDO168_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
ESO563-G021_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2002_preferred_name', 'structure_2002_catalog_name_normalized', 'structure_2002_RFGC_int', 'structure_2002_Dist', 'structure_2002_Re', 'structure_2002_Z0', 'structure_2002_z0_over_re', 'structure_2002_S0', 'structure_2002_RAJ2000_deg', 'structure_2002_DEJ2000_deg', 'structure_2002_Note', 'structure_2002_has_ned_link_flag', 'structure_2002_has_simbad_link_flag', 'structure_2002_source_catalog', 'structure_2002__Glon', 'structure_2002__Glat', 'structure_2002__RAJ2000', 'structure_2002__DEJ2000', 'structure_2002__RAB1950', 'structure_2002__DEB1950', 'structure_2002__Elon2000', 'structure_2002__Elat2000', 'structure_2002_RFGC', 'structure_2002__RA', 'structure_2002__DE', 'structure_2002_NED', 'structure_2002_Simbad', 'structure_2002_biz_name', 'structure_2002_biz_name_norm', 'structure_2002_biz_catalog_token', 'structure_2002_RA_match_deg', 'structure_2002_DE_match_deg', 'structure_2002_biz_aname_norm', 'structure_2002_biz_aname_token', 'structure_2002_biz_ned_norm', 'structure_2002_biz_ned_token', 'structure_2002_matched', 'structure_2002_match_reason', 'structure_2002_matched_sparc_name', 'structure_2002_matched_sparc_index', 'structure_2002_matched_sep_deg', 'structure_2002___source_catalog__']",,,,,,,,,
IC4202_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
NGC0100_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
NGC2403_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
NGC2683_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
NGC2841_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
NGC2998_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
NGC3198_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
NGC3769_structure_enriched,FAILED,"필수 컬럼이 없습니다: ['v_obs_kms', 'v_vis_kms', 'h_kpc']. 현재 컬럼: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc', 'matched_sparc_name', 'matched_sparc_name_norm', 'included_source_catalog', 'secondary_source_catalog', 'duplicate_flag', 'duplicate_status', 'source_object_name_primary', 'source_object_name_secondary', 'structure_2014_Name', 'structure_2014_preferred_name', 'structure_2014_catalog_name_normalized', 'structure_2014_RAJ2000', 'structure_2014_DEJ2000', 'structure_2014_Band', 'structure_2014_h', 'structure_2014_e_h', 'structure_2014_z0', 'structure_2014_e_z0', 'structure_2014_z0_over_h', 'structure_2014_h_over_z0', 'structure_2014_S0', 'structure_2014_e_S0', 'structure_2014_gradz0', 'structure_2014_mag', 'structure_2014_B/T', 'structure_2014_Type', 'structure_2014_RV', 'structure_2014_AName', 'structure_2014_NED', 'structure_2014_thickness_flag', 'structure_2014_biz_name', 'structure_2014_biz_name_norm', 'structure_2014_biz_catalog_token', 'structure_2014_RA_match_deg', 'structure_2014_DE_match_deg', 'structure_2014_biz_aname_norm', 'structure_2014_biz_aname_token', 'structure_2014_biz_ned_norm', 'structure_2014_biz_ned_token', 'structure_2014_matched', 'structure_2014_match_reason', 'structure_2014_matched_sparc_name', 'structure_2014_matched_sparc_index', 'structure_2014_matched_sep_deg', 'structure_2014___source_catalog__']",,,,,,,,,
