Structural coupling rotation pipeline run log
started_at: 2026-03-23T16:33:33.204001
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_163333_local_structural_coupling_v2
beta_mode: local_structural_coupling_v2
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[001/175] [OK] CamB | RMSE=69.4385 km/s | MAFE=12.742172 | beta_mean=88.2780
[002/175] [OK] D512-2 | RMSE=30.8594 km/s | MAFE=0.791309 | beta_mean=76.1615
[003/175] [OK] D564-8 | RMSE=19.8897 km/s | MAFE=1.000000 | beta_mean=71.4087
[004/175] [OK] D631-7 | RMSE=47.3445 km/s | MAFE=1.302682 | beta_mean=70.4583
[005/175] [OK] DDO064 | RMSE=63.2986 km/s | MAFE=3.299383 | beta_mean=76.2810
[006/175] [OK] DDO154 | RMSE=39.6987 km/s | MAFE=1.000000 | beta_mean=87.3243
[007/175] [OK] DDO161 | RMSE=48.9845 km/s | MAFE=0.989920 | beta_mean=80.9238
[008/175] [OK] DDO168 | RMSE=50.5756 km/s | MAFE=1.472740 | beta_mean=79.4084
[009/175] [OK] DDO170 | RMSE=48.4119 km/s | MAFE=0.904596 | beta_mean=93.9663
[010/175] [OK] ESO079-G014 | RMSE=61.9184 km/s | MAFE=0.545524 | beta_mean=83.0824
[011/175] [OK] ESO116-G012 | RMSE=93.8173 km/s | MAFE=1.189872 | beta_mean=74.1772
[012/175] [OK] ESO444-G084 | RMSE=53.9094 km/s | MAFE=1.238019 | beta_mean=93.0212
[013/175] [OK] ESO563-G021 | RMSE=77.6327 km/s | MAFE=0.393213 | beta_mean=72.7962
[014/175] [OK] F561-1 | RMSE=24.6224 km/s | MAFE=0.510759 | beta_mean=84.4883
[015/175] [OK] F563-1 | RMSE=64.0765 km/s | MAFE=0.667644 | beta_mean=70.9777
[016/175] [OK] F563-V1 | RMSE=21.2945 km/s | MAFE=0.894127 | beta_mean=74.1766
[017/175] [OK] F563-V2 | RMSE=83.1024 km/s | MAFE=1.308377 | beta_mean=83.7044
[018/175] [OK] F565-V2 | RMSE=47.1067 km/s | MAFE=0.658630 | beta_mean=89.7450
[019/175] [OK] F567-2 | RMSE=33.7045 km/s | MAFE=0.726414 | beta_mean=109.9151
[020/175] [OK] F568-1 | RMSE=76.7001 km/s | MAFE=0.939510 | beta_mean=86.9123
[021/175] [OK] F568-3 | RMSE=46.1144 km/s | MAFE=0.694228 | beta_mean=84.1668
[022/175] [OK] F568-V1 | RMSE=83.7173 km/s | MAFE=0.938380 | beta_mean=90.0737
[023/175] [OK] F571-8 | RMSE=124.1721 km/s | MAFE=2.434190 | beta_mean=73.4063
[024/175] [OK] F571-V1 | RMSE=57.7824 km/s | MAFE=0.703566 | beta_mean=82.4125
[025/175] [OK] F574-1 | RMSE=60.5465 km/s | MAFE=0.933500 | beta_mean=81.1766
[026/175] [OK] F574-2 | RMSE=7.6572 km/s | MAFE=0.323928 | beta_mean=82.5259
[027/175] [OK] F579-V1 | RMSE=74.4440 km/s | MAFE=0.732368 | beta_mean=91.9466
[028/175] [OK] F583-1 | RMSE=42.3319 km/s | MAFE=1.024644 | beta_mean=100.1819
[029/175] [OK] F583-4 | RMSE=59.9624 km/s | MAFE=1.602227 | beta_mean=84.8928
[030/175] [OK] IC2574 | RMSE=28.7902 km/s | MAFE=0.688534 | beta_mean=85.8171
[031/175] [OK] IC4202 | RMSE=57.0892 km/s | MAFE=0.268537 | beta_mean=70.6049
[032/175] [OK] KK98-251 | RMSE=53.1996 km/s | MAFE=4.101365 | beta_mean=84.1540
[033/175] [OK] NGC0024 | RMSE=104.4998 km/s | MAFE=1.652106 | beta_mean=93.4499
[034/175] [OK] NGC0055 | RMSE=45.7581 km/s | MAFE=0.569225 | beta_mean=72.4149
[035/175] [OK] NGC0100 | RMSE=73.8376 km/s | MAFE=1.536701 | beta_mean=67.4648
[036/175] [OK] NGC0247 | RMSE=53.1339 km/s | MAFE=0.540877 | beta_mean=89.1727
[037/175] [OK] NGC0289 | RMSE=57.9108 km/s | MAFE=0.310784 | beta_mean=76.1987
[038/175] [OK] NGC0300 | RMSE=82.0644 km/s | MAFE=0.997390 | beta_mean=82.4553
