galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC4013,5.49,198.0,10.0,0.0,186.83,108.11,7140.983606557376
NGC4013,6.17,195.0,5.0,10.14,197.4,102.7,6162.8849270664505
NGC4013,6.92,194.0,4.0,19.07,203.18,97.43,5438.728323699422
NGC4013,7.69,195.0,3.0,24.03,205.95,92.74,4944.7334200260075
NGC4013,8.36,195.0,3.0,26.62,205.73,88.92,4548.444976076556
NGC4013,9.12,195.0,3.0,28.67,202.75,85.21,4169.4078947368425
NGC4013,9.88,192.0,7.0,29.74,195.44,81.9,3731.1740890688257
NGC4013,10.56,188.0,8.0,29.63,185.44,79.23,3346.969696969697
NGC4013,11.31,186.0,7.0,29.42,175.66,76.58,3058.885941644562
NGC4013,12.08,186.0,6.0,29.85,166.96,74.1,2863.907284768212
NGC4013,12.77,186.0,5.0,30.5,160.29,72.07,2709.162098668755
NGC4013,13.47,185.0,6.0,31.57,154.56,70.18,2540.8314773570896
NGC4013,14.17,180.0,10.0,32.44,149.44,68.41,2286.5208186309105
NGC4013,14.98,163.0,8.0,32.98,144.15,66.54,1773.6315086782377
NGC4013,15.68,162.0,6.0,32.44,140.03,65.04,1673.7244897959183
NGC4013,16.37,164.0,5.0,31.79,136.17,63.66,1643.0054978619426
NGC4013,17.19,166.0,5.0,30.82,132.07,62.12,1603.025014543339
NGC4013,17.88,166.0,5.0,29.63,128.95,60.91,1541.1633109619688
NGC4013,18.58,166.0,5.0,28.56,126.05,59.75,1483.1001076426267
NGC4013,19.39,166.0,5.0,27.91,122.95,58.49,1421.1449200618874
NGC4013,20.09,168.0,5.0,27.26,120.47,57.46,1404.878048780488
NGC4013,20.79,172.0,5.0,26.4,118.15,56.49,1422.991822991823
NGC4013,21.48,173.0,5.0,25.97,116.0,55.57,1393.342644320298
NGC4013,22.3,171.0,5.0,26.08,113.61,54.54,1311.2556053811659
NGC4013,22.99,170.0,5.0,26.4,111.72,53.72,1257.0682905611136
NGC4013,23.69,172.0,5.0,27.16,109.89,52.92,1248.7969607429295
NGC4013,24.39,173.0,5.0,28.88,108.16,52.15,1227.1012710127102
NGC4013,25.2,176.0,5.0,30.17,106.26,51.31,1229.2063492063492
NGC4013,25.9,178.0,5.0,29.96,104.71,50.61,1223.3204633204634
NGC4013,26.59,180.0,6.0,29.63,103.24,49.95,1218.503196690485
NGC4013,27.41,180.0,8.0,29.1,101.58,49.19,1182.0503465888362
NGC4013,28.1,180.0,5.0,28.45,100.24,48.59,1153.0249110320285
NGC4013,28.8,180.0,5.0,28.02,98.94,47.99,1125.0
NGC4013,29.61,178.0,5.0,27.59,97.5,47.33,1070.0439040864574
NGC4013,30.31,174.0,5.0,27.59,96.31,46.78,998.8782580006599
NGC4013,31.01,170.0,10.0,26.19,95.16,46.25,931.9574330861012
