galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC07089,0.87,20.9,4.7,4.05,19.26,0.0,502.0804597701149
UGC07089,1.74,36.4,3.9,8.89,32.89,0.0,761.4712643678159
UGC07089,2.61,43.4,3.9,12.07,42.35,0.0,721.6704980842912
UGC07089,3.5,51.2,4.7,13.47,46.88,0.0,748.9828571428573
UGC07089,4.37,59.7,3.9,14.33,50.13,0.0,815.5812356979405
UGC07089,5.24,64.5,4.4,18.1,50.81,0.0,793.9408396946565
UGC07089,6.11,67.9,3.9,21.23,49.78,0.0,754.5679214402619
UGC07089,6.55,72.8,7.3,22.41,49.26,0.0,809.1358778625953
UGC07089,6.98,70.3,6.1,23.49,48.73,0.0,708.035816618911
UGC07089,7.85,73.7,6.1,25.32,47.5,0.0,691.9350318471338
UGC07089,8.72,77.6,6.1,26.4,46.22,0.0,690.5688073394494
UGC07089,9.16,79.1,7.3,26.4,45.5,0.0,683.0578602620087
