galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F568-1,0.44,15.7,9.1,-2.08,12.26,0.0,560.2045454545454
F568-1,1.32,44.5,9.1,-5.39,28.49,0.0,1500.1893939393938
F568-1,2.2,69.4,9.1,-6.26,35.84,0.0,2189.2545454545457
F568-1,3.08,90.0,11.4,-3.53,40.15,0.0,2629.87012987013
F568-1,3.96,105.0,9.88,1.83,41.23,0.0,2784.090909090909
F568-1,4.84,113.0,16.2,8.4,42.44,0.0,2638.223140495868
F568-1,5.53,117.0,24.8,13.64,43.19,0.0,2475.406871609403
F568-1,7.48,124.0,9.1,27.27,47.2,0.0,2055.614973262032
F568-1,8.37,127.0,9.1,32.13,48.6,0.0,1927.0011947431303
F568-1,9.24,130.0,9.1,36.26,48.96,0.0,1829.004329004329
F568-1,10.13,133.0,9.1,39.77,48.92,0.0,1746.1994076999013
F568-1,13.23,142.0,23.8,47.41,49.96,0.0,1524.1118669690097
