galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC7814,0.63,265.0,15.0,-0.69,39.69,345.22,111468.25396825396
NGC7814,1.72,250.0,15.0,-2.33,81.63,298.99,36337.20930232558
NGC7814,2.79,233.0,7.29,-3.94,104.82,255.24,19458.4229390681
NGC7814,3.91,230.0,6.45,-5.06,118.95,225.3,13529.411764705881
NGC7814,5.03,228.0,5.37,-3.48,122.96,203.41,10334.791252485089
NGC7814,6.14,228.0,5.16,1.4,120.03,186.27,8466.449511400651
NGC7814,7.26,227.0,5.94,-1.38,115.88,172.25,7097.658402203857
NGC7814,8.37,226.0,3.0,5.96,113.5,160.83,6102.270011947432
NGC7814,9.5,223.0,3.92,11.22,109.97,151.12,5234.631578947368
NGC7814,10.65,219.0,2.9,16.09,105.99,142.79,4503.380281690141
NGC7814,11.74,216.0,2.55,18.57,102.02,136.04,3974.105621805792
NGC7814,12.82,214.0,2.55,19.07,97.84,130.19,3572.2308892355695
NGC7814,14.01,214.0,3.07,17.78,93.27,124.54,3268.807994289793
NGC7814,15.09,214.0,3.61,20.16,89.43,120.01,3034.857521537442
NGC7814,16.18,214.0,4.46,23.24,85.93,115.89,2830.4079110012362
NGC7814,17.36,214.0,5.07,23.44,82.48,111.88,2638.0184331797236
NGC7814,18.44,214.0,4.78,23.34,79.67,108.55,2483.51409978308
NGC7814,19.53,214.0,4.87,22.64,77.35,105.49,2344.905273937532
