galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
DDO168,0.41,15.0,4.1,10.41,8.28,0.0,548.7804878048781
DDO168,0.82,23.4,1.3,18.08,12.66,0.0,667.7560975609756
DDO168,1.24,29.2,1.5,20.09,15.11,0.0,687.6129032258065
DDO168,1.64,36.2,1.1,20.2,15.99,0.0,799.0487804878051
DDO168,2.06,44.0,1.1,22.0,16.89,0.0,939.8058252427185
DDO168,2.47,52.1,1.2,22.63,17.03,0.0,1098.9514170040486
DDO168,2.89,52.9,1.7,22.95,16.99,0.0,968.3079584775086
DDO168,3.3,54.8,2.2,22.74,17.19,0.0,910.0121212121211
DDO168,3.71,55.0,2.5,22.74,17.16,0.0,815.3638814016173
DDO168,4.12,52.0,2.7,22.74,16.37,0.0,656.3106796116505
