r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
9.19,248.0,7.0,218.06976071451348,218.11,5176.493155603918,-165.6743405078985,-117.82295195881399,-0.6464651484327626,101.34037666466784,2.2028180051726327,0.5747052849657274,0.36113624567268887,0.26790951592111484,-7.128729232073621,-1.9098543976975444,-1.9098543976975444,5174.58330120622,0.00036894753654340357,0.15945092147683
13.79,264.0,6.6,246.66299625259788,246.72749036132961,4414.391189267585,-207.41084686013053,-153.17557984915422,-0.7615941559557649,116.87826385622037,2.3214379383272754,0.6885804207941844,0.4490711946972376,0.3574814098677433,-6.454953060997341,-2.3075257208754345,-2.3075257208754345,4412.083663546709,0.0005227279644994627,0.15945092147683
18.35,272.0,5.7,245.1062675083784,245.20560719526785,3276.609798365122,-216.02957242604083,-180.87358660985012,-0.82771164252923,128.08063915844198,2.4203331610868917,0.783519834643416,0.5272409436530219,0.45944406740358545,-5.777320774606411,-2.654355755380402,-2.654355755380402,3273.9554426097416,0.000810092113103215,0.15945092147683
22.94,271.0,5.7,236.38519660995,236.47687117348283,2437.720601569311,-176.7631394517011,-164.69519854250188,-0.7914142872790052,129.94597434847805,2.4630924597085944,0.8245687613202506,0.5624068081884569,0.4215184725881409,-4.483047108708659,-1.8896871698035551,-1.8896871698035551,2435.8309143995075,0.0007751861179576098,0.15945092147683
27.52,264.0,5.3,213.39267893236718,213.45875151888245,1655.6918095930232,-138.49003380347946,-133.75407506156267,-0.7030001486191232,126.95036742744625,2.479854014686943,0.8406598540994654,0.5764170171139836,0.3160157080467224,-3.2429552023527255,-1.0248247844352985,-1.0248247844352985,1654.6669848085878,0.000618970739899363,0.15945092147683
32.11,242.0,7.4,193.60011784364355,193.64141628277767,1167.7669915914046,-84.78240017115736,-97.78049755454981,-0.5637788970752271,119.82987601478963,2.4864421752165327,0.8469844882078713,0.5819584898936457,0.23672364767684625,-2.103941306019287,-0.4980526604588735,-0.4980526604588735,1167.2689389309458,0.0004265000330039081,0.15945092147683
36.7,244.0,5.3,179.4210141180232,179.44411414142286,877.3893760217983,-52.70522945543451,-68.35209359147177,-0.4187981240593294,110.97903725854967,2.4903475834943616,0.8507336801545871,0.5852526834721224,0.1783602195094677,-1.2664254118199187,-0.22587991444456873,-0.22587991444456873,877.1634961073537,0.00025744546334281396,0.15945092147683
41.44,241.0,6.2,167.36570143318988,167.37552748236521,676.0272007722007,-36.16168489097659,-40.65408683077588,-0.25934720258249944,99.18615700052153,2.476109305194319,0.837064932986546,0.5732759814916387,0.12786612613186027,-0.6207445065876895,-0.07937219537500088,-0.07937219537500088,675.9478285768257,0.00011740976588392136,0.15945092147683
46.02,237.0,8.6,157.68988076292706,157.69426432181987,540.3624728378965,-29.62111963631093,-23.697606796544406,-0.15348617371040346,90.07358385585532,2.441452385119395,0.8037942897146192,0.5445065065945224,0.1,-0.30041394477223815,-0.030041394477223815,-0.030041394477223815,540.3324314434192,5.5594894143731546e-05,0.15945092147683
