r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
0.87,39.3,6.6,33.236329069763684,32.75,1232.8304597701149,1285.1658079006472,453.8175210939587,0.9197002958267136,100.97415547883081,2.1605444079975857,0.5341226316776824,0.33133385316648545,0.34556332394940026,106.74248352268194,36.88628741271206,36.88628739496414,1269.7167471650791,0.02992000003110169,0.7962460151424846
1.74,54.6,5.6,64.20717359900762,63.957868945111045,2350.924712643678,852.1021050777298,402.8033179582856,0.8872121394037168,104.76954910040894,2.1908241339674452,0.5631911686087474,0.35259870535299465,0.3437458166006802,53.42115850674515,18.363299754655486,18.363299754655486,2369.2880123983336,0.007811096482935581,0.7962460151424846
2.61,65.5,6.7,84.34980454965003,84.18683982666175,2715.4881226053644,131.81969249141642,328.1050700359001,0.81690449146329,110.71491079095789,2.2487611385257282,0.618810692984699,0.3944407427133102,0.30367605373523404,34.652685018042526,10.523190637609222,10.523190637609222,2726.0113132429738,0.0038752482656687283,0.7962460151424846
3.5,83.9,5.2,95.08184371229632,95.08020719371618,2582.927371428571,-255.07101567836537,5.9080306048778795,0.020658476320805398,74.5923599280601,2.246971882834856,0.6170930075214619,0.3931258606634918,0.20195386025168838,0.44027557179623517,0.08891535129876907,0.08891535129876907,2583.01628677987,3.442425531665156e-05,0.7962460151424846
4.37,94.3,6.3,99.457654436904,99.52326813363797,2266.5631350114413,-373.4912396119276,-210.61958418659017,-0.6270704912576193,106.78664047491229,2.261652170203381,0.6311860833952456,0.40395678939557855,0.194972185199398,-15.323284005115337,-2.9876141669083203,-2.9876141669083203,2263.575520844533,0.0013181252799649272,0.7962460151424846
5.24,104.0,5.7,100.54368432023645,100.64390542899257,1933.0526145038168,-325.81938925446383,-271.8917747093715,-0.7401690101998221,114.7773897285338,2.306774990144481,0.6745039905387017,0.43785712656915243,0.23734120839785813,-16.212722700131312,-3.847947197068551,-3.847947197068551,1929.2046673067482,0.0019906065505808025,0.7962460151424846
6.11,115.0,5.1,101.7954845163976,101.9057628399886,1699.6373977086741,-230.53596887961032,-256.23926156970083,-0.7144001899461807,117.30551970809071,2.344046065092186,0.7102842224884984,0.46655191054087064,0.26805495193198303,-13.715725951095816,-3.6765682605332413,-3.6765682605332413,1695.9608294481409,0.0021631486018536,0.7962460151424846
6.98,127.0,5.1,103.31498306082125,103.40600466123811,1531.9200286532948,-174.54126012249003,-222.19311018204385,-0.6510091559363166,117.54655550407901,2.378649415148672,0.7435034385427253,0.49375439497930873,0.2458849993976908,-10.963307146408576,-2.695712771091372,-2.695712771091372,1529.2243158822034,0.0017596954936633124,0.7962460151424846
7.85,129.0,5.1,104.61144412676582,104.68091755425151,1395.9356050955416,-176.8084499800122,-195.67876618247192,-0.5943225189876258,117.21599775569287,2.412119255745453,0.7756344855156347,0.5205802459527546,0.20871950173339077,-8.87440854163201,-1.85226212898798,-1.85226212898798,1394.0833429665536,0.0013268965432312598,0.7962460151424846
8.72,127.0,5.1,103.2659753618128,103.32310196659797,1224.2733256880736,-203.2604826736428,-185.0060220450902,-0.5696458433524018,117.92435645117166,2.445094626685603,0.807290841618179,0.5475045056420754,0.17568606746672716,-7.703568747983591,-1.3534096987928161,-1.3534096987928161,1222.9199159892808,0.001105480018541701,0.7962460151424846
9.6,124.0,5.1,99.89659376604888,99.93100469824168,1040.2297604166667,-193.24766925660418,-150.09777002059215,-0.4814869204392775,111.96650117588531,2.4260516898270925,0.7890096222340088,0.53189611728225,0.12754966009646906,-5.615667275368517,-0.7162764521881189,-0.7162764521881189,1039.5134839644786,0.0006885752354309943,0.7962460151424846
10.47,122.0,3.9,96.29840432854029,96.31905989989728,886.0899044890162,-177.17224819270152,-114.73608002458971,-0.3810198237455594,104.42038783865678,2.3937710485656156,0.758020206622991,0.5058116348484046,0.1,-3.8000227096206265,-0.3800022709620627,-0.3800022709620627,885.7099022180541,0.0004288529516391579,0.7962460151424846
