galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,mass_bar_segment_msun,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,r_ref_kpc,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_density_i,weight_geom_i,weight_density_i,Dw_i,sigma_left_i,sigma_right_i,sigma_i,alpha_star_gal,alpha_relax_i,neighbor_gradient_i,mass_ref_gal_msun,mass_norm_i,kappa_dyn_gal,beta_i,source_core_i,info_source_i,c_info_gal,tau_struct_gal,ell_info_kpc,I_struct_i,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms
UGC12506,1,0.82,9.02,4.92,8.2,0.35000000000000003,13690247488.640131,109.39646172839652,181.83333333333334,17.9,6,49.99,0.82,4.110273924149317,0.2432927874039356,0.82,1918957230.2227297,14.120400000000002,969536804.1018759,2.027564886330869,2.2101604443928924,0.05222561169332466,0.3356547711647171,2.185575120840287,,0.0885488717789058,0.0885488717789058,2.1888003024656717,0.0032251816253845433,0.010798642899866562,167728188566.518,0.28569498782860997,0.2432927874039356,0.9976382216032824,0.025297968845111637,0.02523822064881242,1.0,2.0,8.200000000000001,0.4168203718616397,744828.302851506,0.19725107369235806,0.06676424770588137,0.9756379362317646,2.1888003024656717,2.197251073692358,0.00845077122668636,1.0320086394302066,6.575035789778602,6.676424770688137,1.644109569660127,1.0,744828.302851506,12825.517638626097,251.2002125437803,273.9874679994195
UGC12506,2,10.65,18.85,14.75,8.200000000000001,0.35000000000000003,108594283485.8216,177.94576202553347,240.0,11.6,6,49.99,0.82,4.110273924149317,0.2432927874039356,0.82,1918957230.2227297,42.33250000000001,2565269792.377525,2.0106423252583783,2.2883297407791,0.03084318109091479,0.5720651027364824,2.274123992619193,0.0885488717789058,0.08213696078697996,0.08534291628294288,2.1888003024656717,0.08532369015352126,0.010407672717432058,167728188566.518,0.8046378423726908,0.2432927874039356,0.9387875204558103,0.06867014001970034,0.06446667047844779,1.0,2.0,8.200000000000001,0.7583428680426163,744828.302851506,0.19725107369235806,0.06676424770588137,0.9756379362317646,2.1888003024656717,2.197251073692358,0.00845077122668636,1.0320086394302066,6.575035789778602,6.676424770688137,1.644109569660127,1.0,744828.302851506,2596.1975587875922,195.68830826627578,264.496896418398
UGC12506,3,20.49,30.32,25.405,9.830000000000002,0.35000000000000003,167728188566.518,168.50919584502986,248.71428571428572,12.07142857142857,7,49.99,0.82,4.110273924149317,0.2432927874039356,0.82,1918957230.2227297,87.40590250000002,1918957230.2227297,2.0063218230513096,2.200033003331339,0.021667956942383076,0.5,2.191987031832213,0.08213696078697996,0.011188427333143736,0.04666269406006185,2.1888003024656717,0.0031867293665412966,0.0047469678596197195,167728188566.518,1.0,0.2432927874039356,0.9973296843840596,0.04666269406006185,0.04653808993943141,1.0,2.0,8.200000000000001,0.7746989067422154,744828.302851506,0.19725107369235806,0.06676424770588137,0.9756379362317646,2.1888003024656717,2.197251073692358,0.00845077122668636,1.0320086394302066,6.575035789778602,6.676424770688137,1.644109569660127,1.0,744828.302851506,894.0271664064342,150.70753187069138,226.0710269957079
UGC12506,4,31.96,38.52,35.24,6.560000000000002,0.35,190021979808.45602,152.28746127646687,242.2,16.8,5,49.99,0.82,4.110273924149317,0.2432927874039356,0.82,1918957230.2227297,80.91104000000003,2348529691.479135,2.0060150268209482,2.211236852590802,0.022501642026980417,0.5503308468353891,2.2031754591653567,0.011188427333143736,0.07178169516061628,0.041485061246880006,2.1888003024656717,0.014375156699685032,0.0063239422632439014,167728188566.518,1.0643853563408676,0.2432927874039356,0.9877940510501255,0.04415609169808309,0.04361712469699031,1.0,2.0,8.200000000000001,0.7042510955010286,744828.302851506,0.19725107369235806,0.06676424770588137,0.9756379362317646,2.1888003024656717,2.197251073692358,0.00845077122668636,1.0320086394302066,6.575035789778602,6.676424770688137,1.644109569660127,1.0,744828.302851506,422.3883223353024,122.00395271914782,195.13184092076682
UGC12506,5,40.16,49.99,45.075,9.830000000000005,0.35000000000000003,217529429172.4537,144.06925810466495,230.28571428571428,14.628571428571425,7,49.99,0.82,4.110273924149317,0.2432927874039356,0.82,1918957230.2227297,155.0805375000001,1402686840.5228062,2.004097250593208,2.1363240317215055,0.016355417033604717,0.4222869189617827,2.1313937640047405,0.07178169516061628,,0.07178169516061628,2.1888003024656717,0.057406538460931245,0.007302308765067776,167728188566.518,1.1388223498085372,0.2432927874039356,0.9566402036655454,0.08174659875605314,0.0782020828829563,1.0,2.0,8.200000000000001,0.9111498173335637,744828.302851506,0.19725107369235806,0.06676424770588137,0.9756379362317646,2.1888003024656717,2.197251073692358,0.00845077122668636,1.0320086394302066,6.575035789778602,6.676424770688137,1.644109569660127,1.0,744828.302851506,334.0215544317826,122.70298108038207,189.24051547393643
