r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_density_i,weight_geom_i,weight_density_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.45,18.9,65.19,9.78,ESO563-G021,0.0,65.19,0.0,793.7999999999998,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.186015068932963,0.05500655985145597,0.9832363860518377,0.010276919292787037,0.010104640985186333,0.20821062208105057,551034.7699081653,2.0498580456173694,2.2218950323292916,0.09210087249930783,0.3495037189909159,11131020785.313784,0.1868307947368393,0.0211330528149678,0.012361024685720442,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,566574.2826215687,504.93408201438126,509.1248994890212,-490.2248994890212,-46.29
1.34,58.3,120.17,10.5,ESO563-G021,0.0,120.17,0.0,2536.4850746268653,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.186015068932963,0.05500655985145597,0.9832363860518377,0.010276919292787037,0.010104640985186333,0.20821062208105057,551034.7699081653,2.0498580456173694,2.2218950323292916,0.09210087249930783,0.3495037189909159,11131020785.313784,0.1868307947368393,0.0211330528149678,0.012361024685720442,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,63895.796519752534,292.60958175778933,316.3245109637702,-258.0245109637702,-61.870000000000005
2.23,74.1,137.48,5.69,ESO563-G021,0.0,137.48,0.0,2462.2466367713,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.186015068932963,0.05500655985145597,0.9832363860518377,0.010276919292787037,0.010104640985186333,0.20821062208105057,551034.7699081653,2.0498580456173694,2.2218950323292916,0.09210087249930783,0.3495037189909159,11131020785.313784,0.1868307947368393,0.0211330528149678,0.012361024685720442,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,23071.30491883361,226.82374207520462,265.23529246500914,-191.13529246500914,-63.379999999999995
3.12,119.0,146.18,4.27,ESO563-G021,0.0,146.18,0.0,4538.782051282051,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.186015068932963,0.05500655985145597,0.9832363860518377,0.010276919292787037,0.010104640985186333,0.20821062208105057,551034.7699081653,2.0498580456173694,2.2218950323292916,0.09210087249930783,0.3495037189909159,11131020785.313784,0.1868307947368393,0.0211330528149678,0.012361024685720442,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,11786.169895511552,191.76248348933126,241.12536671614632,-122.12536671614632,-27.180000000000007
4.01,141.0,157.86,3.76,ESO563-G021,0.0,157.86,0.0,4957.85536159601,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.186015068932963,0.05500655985145597,0.9832363860518377,0.010276919292787037,0.010104640985186333,0.20821062208105057,551034.7699081653,2.0498580456173694,2.2218950323292916,0.09210087249930783,0.3495037189909159,11131020785.313784,0.1868307947368393,0.0211330528149678,0.012361024685720442,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,7134.986239567395,169.14873579387242,231.36783359115688,-90.36783359115688,-16.860000000000014
5.79,227.0,199.19,4.2,ESO563-G021,0.0,199.19,0.0,8899.65457685665,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.241021628784419,0.045232835600576005,0.938799151429798,0.027374719684605836,0.025699363610536544,0.3620995252809547,551034.7699081653,2.0150585102360714,2.25954303716469,0.04469630472241756,0.5452995903606853,116796493543.85747,0.6051957459915964,0.07613961266642377,0.007214168357348645,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,5951.820588682374,185.63685304505393,272.2823852335493,-45.28238523354929,27.810000000000002
6.69,246.0,217.87,4.24,ESO563-G021,0.0,217.87,0.0,9045.7399103139,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.241021628784419,0.045232835600576005,0.938799151429798,0.027374719684605836,0.025699363610536544,0.3620995252809547,551034.7699081653,2.0150585102360714,2.25954303716469,0.04469630472241756,0.5452995903606853,116796493543.85747,0.6051957459915964,0.07613961266642377,0.007214168357348645,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,4458.150477745978,172.69923768251147,278.01504203211846,-32.01504203211846,28.129999999999995
7.58,268.0,228.65,5.56,ESO563-G021,0.0,228.65,0.0,9475.461741424802,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.241021628784419,0.045232835600576005,0.938799151429798,0.027374719684605836,0.025699363610536544,0.3620995252809547,551034.7699081653,2.0150585102360714,2.25954303716469,0.04469630472241756,0.5452995903606853,116796493543.85747,0.6051957459915964,0.07613961266642377,0.007214168357348645,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,3472.710239364923,162.2440865313313,280.36398861905593,-12.363988619055931,39.349999999999994
8.47,283.0,241.76,2.96,ESO563-G021,0.0,241.76,0.0,9455.6080283353,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.241021628784419,0.045232835600576005,0.938799151429798,0.027374719684605836,0.025699363610536544,0.3620995252809547,551034.7699081653,2.0150585102360714,2.25954303716469,0.04469630472241756,0.5452995903606853,116796493543.85747,0.6051957459915964,0.07613961266642377,0.007214168357348645,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,2781.2507035323883,153.48352829837907,286.3653105020217,-3.365310502021714,41.24000000000001
10.23,291.0,260.94,9.81,ESO563-G021,0.0,260.94,0.0,8277.712609970675,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.241021628784419,0.045232835600576005,0.938799151429798,0.027374719684605836,0.025699363610536544,0.3620995252809547,551034.7699081653,2.0150585102360714,2.25954303716469,0.04469630472241756,0.5452995903606853,116796493543.85747,0.6051957459915964,0.07613961266642377,0.007214168357348645,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,1906.582890651351,139.65794990391103,295.96288039442265,-4.962880394422655,30.060000000000002
